beta,seed,in_acc,ex_acc,spearman_pred_vs_true,spearman_p,probe_r2,rho_mean,rho_min,rho_max,rho_std,train_seconds
0.0,0,100.0,0.0,0.6405923802415331,4.184956716363314e-59,0.9988346502261578,1.261382188378373,1.195887565611597,1.470380783079584,0.08935881769912535,3.973341941833496
0.0,1,100.0,0.0,0.367875766240909,1.8090382085946565e-17,0.9994515730828355,1.8988651734225643,1.2361585638605253,6.901218414299739,1.5732524578123177,3.255103826522827
0.0,2,100.0,0.0,0.98589627494025,0.0,0.9973192538071951,1.3595222957052353,1.1956784725177252,2.059887770405603,0.2800313654614431,3.374858856201172
0.5,0,100.0,0.0,0.7482066722921057,8.790553429941497e-91,0.9988073406166141,1.2668407234803065,1.2329903383832963,1.376628398893887,0.04827773932601924,3.43241810798645
0.5,1,100.0,0.0,0.5482972159245535,1.3936750231690804e-40,0.9960633482476562,1.7995802094930526,1.152237772940437,7.185355663292374,1.6520546539773653,3.3187990188598633
0.5,2,100.0,0.0,0.978242816738779,0.0,0.9986941523665215,1.3576803808655227,1.1803699731814978,2.327358961103019,0.3429863729347906,3.327254056930542
1.0,0,100.0,0.0,0.14679808623636006,0.0009942768024878929,0.9995005730664418,1.1208285253883898,1.0771862910490166,1.2658214569079138,0.06189148149072971,3.369022846221924
1.0,1,100.0,0.0,0.4673520376929084,1.702477398905041e-28,0.9985575620105939,1.8492647356800271,1.2086470127093625,6.993378162377039,1.590958631874497,3.3137829303741455
1.0,2,100.0,0.0,0.9756005029241062,0.0,0.9986166408672811,1.2902618323109913,1.0921263694752261,1.9344632625560487,0.2690377680278692,3.3560609817504883
2.0,0,100.0,0.0,0.7523551040603039,2.5202546828498196e-92,0.9989228130265678,1.181410866284601,1.140167304286252,1.3900934457765028,0.06908563100882797,3.403977870941162
2.0,1,100.0,0.0,0.5425064890557291,1.321346348121454e-39,0.9983339024013218,1.7964780766765707,1.143521666525651,7.249298527787739,1.6706991229247452,3.3161609172821045
2.0,2,100.0,0.0,0.7937134973323376,1.382557863313365e-109,0.9978004738062811,1.2365763408238613,1.0857682875245853,2.150263327389394,0.2836622201930967,3.281698226928711
5.0,0,100.0,0.0,0.9658375035411014,3.27602745310013e-294,0.9995795664562003,0.5393361028196295,0.1277521179765448,0.7521545886985886,0.2379436597258025,3.3153531551361084
5.0,1,100.0,0.0,0.9621758907127758,2.118058161701098e-283,0.9996204816619494,0.41898356273001247,0.31057627860135245,0.7107672691338106,0.10495939333568528,3.258815050125122
5.0,2,100.0,0.0,0.9618744433888503,1.4719127243573135e-282,0.9998824972562877,0.29845628962106147,0.2073701445678869,0.3971737921233974,0.053624651217843114,3.304652214050293
10.0,0,100.0,0.0,0.9658359215539774,3.313361227099731e-294,0.9999422586636516,0.15142477196805254,0.09480932354917582,0.1928454420380383,0.03559657161346854,3.295355796813965
10.0,1,100.0,0.0,0.9618927260991108,1.3092183105349329e-282,0.9997032625897199,0.23092119034633904,0.11265398561943232,0.37950524687729076,0.08614635041168926,3.3154590129852295
10.0,2,100.0,0.0,0.9618744433888503,1.4719127243573135e-282,0.9999139995316205,0.22210257943608472,0.11235591919936397,0.3426798190280241,0.07088449155958224,3.2949490547180176
20.0,0,100.0,0.0,0.9658359215539774,3.313361227099731e-294,0.9998160087284076,0.24584401899887856,0.09729032798342084,0.523005695521648,0.12859118706188405,3.298724889755249
20.0,1,100.0,0.0,0.9618927260991108,1.3092183105349329e-282,0.9998330613449733,0.330942265761853,0.11807566881168001,0.7423335909836021,0.2102332498488626,3.2907681465148926
20.0,2,100.0,0.0,0.9618708390707871,1.5062872938142953e-282,0.9999213345659228,0.2709385558090721,0.08581142872563363,0.6195632219308379,0.15635035646474982,3.298341751098633
