beta,seed,in_acc,ex_acc,spearman_pred_vs_true,spearman_p,probe_r2,rho_mean,rho_min,rho_max,rho_std,train_seconds
0.0,0,93.2,0.0,0.9558196234749106,5.965462461696041e-267,0.8215983868281387,1.4050057249682368,1.0161995887746185,1.9680407028202822,0.3242875764208212,2.640929698944092
0.0,1,92.2,0.0,0.9451900647628675,3.198867123593852e-244,0.8627992732128813,1.4460610164627383,0.9798890340252276,2.212950468061141,0.30800076466449666,2.102083921432495
0.0,2,92.0,0.0,0.9438549865178328,1.0811452994124475e-241,0.7928156105030616,1.5285350366288624,0.9055095911016945,2.0638672151465767,0.3890368562477235,2.136425018310547
0.5,0,26.400000000000002,0.0,0.14330226816157407,0.0013139587394191965,0.002765800652064998,0.14191232744158924,0.043763278798016586,0.33734163641895887,0.1015993562244674,2.1166088581085205
0.5,1,22.6,0.0,0.15834916975161306,0.00037886721739633305,0.003420435130367494,0.007820875742794603,0.004476726520802074,0.012192577123629774,0.002847914923623901,2.113564968109131
0.5,2,25.0,0.125,0.1750451766166241,8.328246819687288e-05,-0.008342634505015933,0.06814211074251687,0.0029995738919540386,0.7335387189930829,0.20065166769953996,2.1042978763580322
1.0,0,24.4,0.25,0.19809302249758112,8.09304782943172e-06,-0.00010508380626284008,0.012398187077508045,0.006205908392715709,0.02363427542147657,0.0049571496359736116,2.1082420349121094
1.0,1,22.6,0.0,0.15834916975161306,0.00037886721739633305,0.0033290995459026584,0.004120474038995938,0.002108816415967407,0.006962456224104132,0.0019362431336160967,2.10180926322937
1.0,2,25.0,0.125,0.1750451766166241,8.328246819687288e-05,-0.008376191343723915,0.04437607356771161,0.0014980329162185063,0.48686158657025286,0.13342808274332174,2.0767290592193604
2.0,0,24.2,0.0,0.14028950242206292,0.0016626728976061435,0.011254222908836709,0.003559717659415802,0.0010952099692065492,0.005829534375186954,0.0017599920449886653,2.0757620334625244
2.0,1,22.6,0.0,0.15834916975161306,0.00037886721739633305,0.0033237547884390484,0.002209343624955557,0.0010057658655558898,0.003996522631492194,0.001191279546762744,2.0742857456207275
2.0,2,25.0,0.125,0.1750451766166241,8.328246819687288e-05,-0.008378124142920829,0.0322442950069168,0.0007397575536735408,0.3650358834880447,0.10034444669678007,2.0947089195251465
5.0,0,26.400000000000002,0.0,0.14330226816157407,0.0013139587394191965,0.007730426660895184,0.005147709411145438,0.0005458037485363091,0.010999466948168422,0.003566506609075316,2.071416139602661
5.0,1,22.6,0.0,0.15834916975161306,0.00037886721739633305,0.003294337536750236,0.0016045504788428156,0.0006084177437022495,0.002771511208263248,0.0007930017065200512,2.0691077709198
5.0,2,25.0,0.125,0.1750451766166241,8.328246819687288e-05,-0.00842852543214967,0.023305587018524535,0.0004935769247817527,0.2623004175601016,0.07206380318975421,2.084041118621826
10.0,0,26.400000000000002,0.0,0.14330226816157407,0.0013139587394191965,-0.0036520934782426906,0.004116079484540634,0.0007871807320035572,0.008315051905802517,0.0024228032310087987,2.0765371322631836
10.0,1,22.6,0.0,0.15834916975161306,0.00037886721739633305,0.0033039688851941307,0.001345459980477438,0.0005551332142198494,0.0023947693407511605,0.0006946736353817736,2.0944700241088867
10.0,2,25.0,0.125,0.1750451766166241,8.328246819687288e-05,-0.008435073109244628,0.020292672256724025,0.00048618833534370916,0.22743640840030813,0.062460049522647894,2.090597152709961
20.0,0,26.8,0.0,0.20242776108221705,5.0569571625953535e-06,-0.003748401519876987,0.0027917503985580116,0.0013877134770141075,0.004047662485386854,0.0009320004258316592,2.088602066040039
20.0,1,22.6,0.0,0.15834916975161306,0.00037886721739633305,0.00330535167598478,0.0012665583657469693,0.0004431935958559849,0.0023443086538440386,0.0006877969427265734,2.077177047729492
20.0,2,25.0,0.125,0.1750451766166241,8.328246819687288e-05,-0.008437205733997644,0.018229054413418426,0.0004409594985186369,0.20407290756682014,0.05603784883633011,2.065845012664795
