task,n,alpha,r2,null_mean,null_p95,p_perm,within_level_answer_sd
count_ones,38,10.0,0.20484171053397726,-0.6857647838062901,0.07638525419822173,0.02,1.6351404253232553
count_ones,38,100.0,0.2103059643641947,-0.5835826743871064,0.03800565929906746,0.005,1.6351404253232553
count_ones,38,1000.0,0.21918107634085726,-0.37186054032517996,0.10565485217858703,0.03,1.6351404253232553
count_ones,38,10000.0,0.13041173742897216,-0.07236538257545398,0.14727176428675956,0.055,1.6351404253232553
count_ones,38,100000.0,0.03942850112365004,-0.0012100112139156265,0.06596128300507555,0.125,1.6351404253232553
projection,40,10.0,-0.9955815305969562,-0.6861728419612304,0.05936643649543725,0.76,1.857417562100671
projection,40,100.0,-0.9471003389012425,-0.5842323363049818,0.09217505823344015,0.775,1.857417562100671
projection,40,1000.0,-0.6448260016129717,-0.39637568131589973,0.16022609765544873,0.765,1.857417562100671
projection,40,10000.0,-0.16851248303816124,-0.09515845859298318,0.13825203306145412,0.665,1.857417562100671
projection,40,100000.0,-0.030628320446370205,-0.003928774871793102,0.056979270022264654,0.79,1.857417562100671
