tag,arm,task,n_ops,seed,position,window_k,natural_window,pr,null_mean,z,ratio,cos_consecutive
trained_track_n4_ns128_seed0,trained,track,4,0,last,10,89,7.619361112653076,9.981593613500841,-536.9250765154144,0.7633411464825945,0.06975649089247872
trained_track_n4_ns128_seed0,trained,track,4,0,last,15,89,9.602734379817571,14.959828476839263,-1273.4584811976806,0.641901369035379,0.17992304031572498
trained_track_n4_ns128_seed0,trained,track,4,0,last,20,89,10.917527835984224,19.928054526044242,-1077.4823484043259,0.5478471479348854,0.2552619928393929
trained_track_n4_ns128_seed0,trained,track,4,0,last,30,89,11.140345898263847,29.83418867242773,-1530.2060541635738,0.3734087097384208,0.35514095022950326
trained_track_n4_ns128_seed0,trained,track,4,0,last,41,89,7.48326884313537,40.68604824341104,-1775.3622109228986,0.18392714864725795,0.5001455548080929
trained_local_n4_ns128_seed0,trained,local,4,0,last,10,96,8.72826455619712,9.981593613500841,-284.87619222506027,0.8744359762745197,0.05831487534725369
trained_local_n4_ns128_seed0,trained,local,4,0,last,15,96,11.188913164251133,14.959828476839263,-896.4009217914083,0.7479305783200494,0.1590148742856589
trained_local_n4_ns128_seed0,trained,local,4,0,last,20,96,11.75093182087567,19.928054526044242,-977.8235699889681,0.589667787466068,0.27589384390242155
trained_local_n4_ns128_seed0,trained,local,4,0,last,30,96,12.484110269891017,29.83418867242773,-1420.210672172073,0.41844979955592454,0.4483403553199573
trained_local_n4_ns128_seed0,trained,local,4,0,last,41,96,7.802737199783615,40.68604824341104,-1758.2801455589904,0.19177918565849514,0.5824852129375074
trained_count_ones_n4_ns128_seed0,trained,count_ones,4,0,last,10,102,7.990047413055381,9.981593613500841,-452.66970786084937,0.8004781322942514,0.22807831696778239
trained_count_ones_n4_ns128_seed0,trained,count_ones,4,0,last,15,102,10.41011518979188,14.959828476839263,-1081.5324255046044,0.6958712933045169,0.3453653109708723
trained_count_ones_n4_ns128_seed0,trained,count_ones,4,0,last,20,102,12.955129751393555,19.928054526044242,-833.8251047772305,0.6500950574207995,0.38487793847000623
