tag,family,item,gold,correct,best_rank,best_depth,n_tokens,window,pr,cos_consecutive,contraction,settle
count_mod3_i00,count_mod3,0,2,False,2,2,42,47,10.905712924041191,0.2642396481306682,0.8854230935279336,35.0
count_mod3_i01,count_mod3,1,1,True,1,2,42,48,15.815023380509693,0.3737266609952191,0.8701588093390115,31.0
count_mod3_i02,count_mod3,2,0,False,2,2,42,47,10.076447988414268,0.3520420289264067,0.8845535660299305,35.0
count_mod3_i03,count_mod3,3,2,False,2,2,42,48,15.366521034570528,0.3301936696087732,0.8707921555043697,31.0
count_mod3_i04,count_mod3,4,2,False,3,2,42,47,8.954576884852534,0.3612199330407048,0.8768674551289725,33.0
count_mod3_i05,count_mod3,5,2,False,3,3,42,46,9.989709750432208,0.29478049555956487,0.8816511773790818,33.0
count_mod3_i06,count_mod3,6,1,True,1,2,42,46,11.069074645141386,0.31287984289133003,0.8887926901972028,35.0
count_mod3_i07,count_mod3,7,1,True,1,1,42,46,12.109162246606772,0.453233759191769,0.8760241953554557,31.0
count_mod3_i08,count_mod3,8,0,False,12,2,42,47,16.79454211776214,0.38821954128881125,0.8669054614980339,31.0
count_mod3_i09,count_mod3,9,1,True,1,2,42,47,13.17670092426194,0.2862026121006008,0.8812115282428384,33.0
count_mod3_i10,count_mod3,10,1,True,1,3,42,46,10.00504437625529,0.20145476851209937,0.8834094197636125,34.0
count_mod3_i11,count_mod3,11,1,True,1,2,42,47,10.711335350164138,0.37372155793793044,0.8781576536607043,33.0
count_mod3_i12,count_mod3,12,2,False,4,2,42,47,9.063460181438307,0.3290040319849158,0.8764264860708253,32.0
count_mod3_i13,count_mod3,13,2,False,3,3,42,48,17.108749888144576,0.5515039973518381,0.871158519383211,31.0
count_mod3_i14,count_mod3,14,2,False,2,2,42,47,17.751566595950326,0.4318510127235537,0.862550143235458,31.0
count_mod3_i15,count_mod3,15,2,False,2,2,42,46,11.358798712316458,0.3019195114960357,0.8834141544043178,34.0
count_mod3_i16,count_mod3,16,2,False,2,3,42,46,16.07902298311812,0.42791683508639716,0.8730557801175878,32.0
count_mod3_i17,count_mod3,17,0,False,2,2,42,47,10.860590663511902,0.46914838302745254,0.8863378780101091,35.0
count_mod3_i18,count_mod3,18,0,False,12,2,42,46,12.182320464959066,0.29507127522953,0.8815245008098591,34.0
count_mod3_i19,count_mod3,19,0,False,5,6,42,49,18.27850192104484,0.46340180980518547,0.8664458126747484,30.0
count_mod3_i20,count_mod3,20,2,False,6,4,42,49,17.047093539092295,0.5093339443748975,0.8632884156249492,32.0
count_mod3_i21,count_mod3,21,1,True,1,2,42,47,11.98715694984643,0.4586286645174068,0.8726721080011034,32.0
count_mod3_i22,count_mod3,22,2,False,3,4,42,47,14.659639589732729,0.3677908781484078,0.8778683681229488,33.0
count_mod3_i23,count_mod3,23,1,True,1,2,42,46,16.665904327771752,0.4844390023498273,0.8693921049670015,31.0
count_mod3_i24,count_mod3,24,2,False,2,2,42,48,13.467128972058502,0.5387666709008441,0.8778362778286598,33.0
count_mod3_i25,count_mod3,25,1,True,1,2,42,46,10.432720842428996,0.30909830706702673,0.8836414852367211,35.0
count_mod3_i26,count_mod3,26,0,False,5,5,42,47,15.07826823858254,0.36385567426004506,0.8780468436325881,33.0
count_mod3_i27,count_mod3,27,2,False,2,4,42,46,14.277461936833886,0.3508803970849101,0.8705447489029221,32.0
count_mod3_i28,count_mod3,28,0,False,2,2,42,46,10.445592763396226,0.22248316712625188,0.8803180249535799,34.0
count_mod3_i29,count_mod3,29,0,False,2,2,42,47,10.553266886614853,0.4208609776593831,0.877688120992031,32.0
count_mod3_i30,count_mod3,30,2,False,3,4,42,46,13.282492534500731,0.40838851126114256,0.8752814922709279,32.0
count_mod3_i31,count_mod3,31,1,True,1,2,42,47,12.460682288860335,0.26175048501067605,0.8818526775738329,34.0
sub1_i00,sub1,0,3,False,2,5,18,50,15.355418190213255,0.6918577684914547,0.8413155988040473,29.0
sub1_i01,sub1,1,8,False,4,6,18,49,9.927387268093788,0.6935301788498668,0.8426523940716539,27.0
sub1_i02,sub1,2,3,True,1,5,18,50,13.154104085712744,0.7048171594429979,0.8389152187569174,28.0
sub1_i03,sub1,3,2,True,1,2,18,50,16.62033024426261,0.6648783786827904,0.8366566600946345,27.0
sub1_i04,sub1,4,2,False,2,2,18,50,17.168789185606673,0.6327010245076685,0.838558554371628,27.0
sub1_i05,sub1,5,1,True,1,3,18,50,13.975003494083033,0.6829287412919253,0.8422898474731126,28.0
sub1_i06,sub1,6,7,False,3,7,18,50,14.914701660579722,0.6657887433956712,0.8414863549945322,28.0
sub1_i07,sub1,7,0,True,1,7,18,48,4.68737419467091,0.7500596403181122,0.8826188532365596,34.0
sub1_i08,sub1,8,1,True,1,3,18,50,15.61725453899868,0.6631895955472198,0.8447751767246955,29.0
sub1_i09,sub1,9,5,False,3,8,18,50,9.739934546757736,0.698632844502123,0.8390251233069835,27.0
sub1_i10,sub1,10,4,True,1,5,18,50,17.161151366288074,0.6069279606439533,0.8477763125600752,30.0
sub1_i11,sub1,11,5,False,2,8,18,50,10.11143319085017,0.7027160985584701,0.8408564498496073,27.0
sub1_i12,sub1,12,0,True,1,7,18,48,4.513390641864114,0.7440323537079173,0.8856172240988632,35.0
sub1_i13,sub1,13,6,False,3,9,18,50,12.493599800899947,0.7051214041616292,0.8422962911300915,28.0
sub1_i14,sub1,14,4,True,1,5,18,50,15.100143451468867,0.582948061206961,0.850257996059584,30.0
sub1_i15,sub1,15,5,False,2,8,18,50,11.541250995362104,0.688703446461334,0.837126662679561,27.0
sub1_i16,sub1,16,4,True,1,5,18,50,16.338103301857934,0.6389322083818048,0.8460162582077143,29.0
sub1_i17,sub1,17,6,False,3,8,18,50,10.77620805065463,0.7198832823990824,0.843551806813836,28.0
sub1_i18,sub1,18,1,True,1,3,18,50,14.647739653637625,0.679557147212366,0.8470253696788417,28.0
sub1_i19,sub1,19,7,False,4,6,18,50,11.627346658011872,0.6849002164255902,0.8440335265950872,28.0
sub1_i20,sub1,20,1,True,1,3,18,50,12.843119260061629,0.7000925581341949,0.8442100139409894,28.0
sub1_i21,sub1,21,1,True,1,3,18,50,13.841603839382964,0.6750713868455903,0.8464293841962378,28.0
sub1_i22,sub1,22,5,False,3,9,18,50,13.013336225500385,0.6808810559851574,0.8386498846652602,27.0
sub1_i23,sub1,23,7,False,3,6,18,50,11.172964368027538,0.6955318178877752,0.8505296944017035,29.0
sub1_i24,sub1,24,5,False,4,6,18,50,11.000282076017374,0.6993995524746334,0.8386301615243592,27.0
sub1_i25,sub1,25,2,True,1,2,18,50,16.52178486799452,0.6524025956167974,0.8371109006117206,27.0
sub1_i26,sub1,26,6,False,2,9,18,50,11.051528372923656,0.7169719787527948,0.8457324439483337,29.0
sub1_i27,sub1,27,5,False,3,9,18,50,12.082487763780806,0.6800176261915893,0.8388272928292377,27.0
sub1_i28,sub1,28,7,False,3,7,18,50,14.656670476358299,0.6586373442815582,0.8432961695002619,28.0
sub1_i29,sub1,29,5,False,3,7,18,50,10.498936628377445,0.7078103434240735,0.8411629972511317,27.0
sub1_i30,sub1,30,4,True,1,6,18,50,16.090437895000733,0.6317044872217931,0.8480334062889126,30.0
sub1_i31,sub1,31,7,False,4,6,18,50,11.94397096718862,0.6957838994983754,0.8456464268176582,28.0
nth_item_i00,nth_item,0,5,False,2,19,29,49,18.48103421299725,0.5495521884472842,0.8453864976026703,29.0
nth_item_i01,nth_item,1,6,False,6,2,29,49,18.808161468251235,0.5685338731971313,0.8429355453533496,29.0
nth_item_i02,nth_item,2,1,True,1,3,29,48,17.822148600107727,0.5317308566553367,0.844690239832604,30.0
nth_item_i03,nth_item,3,2,True,1,2,29,49,16.95655447013571,0.5987553891195444,0.8425023200923931,28.0
nth_item_i04,nth_item,4,8,False,11,7,29,50,16.935282405462228,0.5994387656097488,0.8485573872082716,30.0
nth_item_i05,nth_item,5,9,False,7,11,29,50,19.648498634812665,0.5406927488274452,0.8499022351669948,29.0
nth_item_i06,nth_item,6,2,False,2,11,29,49,18.16973470312542,0.5891765740519939,0.8417412862844463,29.0
nth_item_i07,nth_item,7,6,False,6,12,29,50,16.632257982333886,0.5995025370279793,0.8422748337242922,29.0
nth_item_i08,nth_item,8,3,True,1,2,29,49,15.802013744790466,0.563503336161398,0.8424796904714612,29.0
nth_item_i09,nth_item,9,9,False,3,2,29,50,15.878441868729292,0.6097627153715075,0.8440769904756745,29.0
nth_item_i10,nth_item,10,9,False,7,1,29,49,19.144508243202935,0.5762027103686047,0.8434393506965926,29.0
nth_item_i11,nth_item,11,5,True,1,1,29,49,17.70866769091724,0.5831719647512267,0.8408224959402586,29.0
nth_item_i12,nth_item,12,3,False,2,8,29,49,19.37551936067142,0.5462640177704075,0.8402209693562366,29.0
nth_item_i13,nth_item,13,2,False,6,18,29,49,17.914720203496024,0.5730691254791549,0.8420456779686886,30.0
nth_item_i14,nth_item,14,3,True,1,2,29,50,14.562132581208008,0.6108019174855944,0.8426760080663738,28.0
nth_item_i15,nth_item,15,9,False,8,18,29,49,16.691853571798028,0.6071723450379507,0.8448386911318493,29.0
nth_item_i16,nth_item,16,0,False,9,17,29,48,16.858303252532973,0.505007558820865,0.8447102055105868,30.0
