arm,family,item,gold,n_gold_tok,rank_best,rank_final,argmin_depth,correct_best,correct_final,logp_gold_final
trained,echo_digit,0,4,1,1,4,5,True,False,-2.9360995292663574
trained,echo_digit,1,1,1,1,2,2,True,False,-2.2794764041900635
trained,echo_digit,2,7,1,1,3,3,True,False,-2.429065704345703
trained,echo_digit,3,4,1,1,4,2,True,False,-2.9359848499298096
trained,echo_digit,4,6,1,1,2,2,True,False,-2.5159807205200195
trained,echo_digit,5,3,1,1,3,2,True,False,-2.8056070804595947
trained,echo_digit,6,9,1,1,4,2,True,False,-2.888518810272217
trained,echo_digit,7,4,1,1,4,2,True,False,-2.9361860752105713
trained,echo_digit,8,5,1,1,2,2,True,False,-2.4245059490203857
trained,echo_digit,9,2,1,1,4,4,True,False,-3.0217132568359375
trained,echo_digit,10,1,1,1,2,3,True,False,-2.2796099185943604
trained,echo_digit,11,4,1,1,4,2,True,False,-2.9364380836486816
trained,echo_digit,12,2,1,1,4,4,True,False,-3.021655321121216
trained,echo_digit,13,8,1,1,3,2,True,False,-2.7704622745513916
trained,echo_digit,14,8,1,1,3,2,True,False,-2.7709953784942627
trained,echo_digit,15,3,1,1,3,4,True,False,-2.80556058883667
trained,echo_word,0,paper,1,1,1,7,True,True,-1.3018200397491455
trained,echo_word,1,chair,1,1,1,4,True,True,-0.6280900239944458
trained,echo_word,2,cloud,1,1,1,6,True,True,-0.9925198554992676
trained,echo_word,3,night,1,1,2,5,True,False,-2.1460678577423096
trained,echo_word,4,queen,2,1,1,9,True,True,-1.1599627118557692
trained,echo_word,5,water,1,1,1,7,True,True,-1.659316062927246
trained,echo_word,6,paper,1,1,1,6,True,True,-1.3026084899902344
trained,echo_word,7,water,1,1,1,8,True,True,-1.6587629318237305
trained,echo_word,8,green,1,1,1,6,True,True,-1.5264060497283936
trained,echo_word,9,apple,1,1,1,7,True,True,-0.9205739498138428
trained,echo_word,10,youth,2,2,2,6,False,False,-2.0229720007628202
trained,echo_word,11,chair,1,1,1,6,True,True,-0.6290526986122131
trained,echo_word,12,chair,1,1,1,8,True,True,-0.6279721260070801
trained,echo_word,13,table,1,2,2,9,False,False,-1.4242898225784302
trained,echo_word,14,youth,2,1,2,5,True,False,-2.0193344745785
trained,echo_word,15,cloud,1,1,1,5,True,True,-0.99553382396698
trained,nth_item,0,5,1,3,3,18,False,False,-3.219646453857422
trained,nth_item,1,6,1,8,13,2,False,False,-4.48499870300293
trained,nth_item,2,1,1,1,2,3,True,False,-2.9336001873016357
trained,nth_item,3,2,1,1,10,2,True,False,-4.142026901245117
trained,nth_item,4,8,1,9,19,1,False,False,-4.862837791442871
trained,nth_item,5,9,1,5,16,2,False,False,-4.484702110290527
trained,nth_item,6,2,1,2,3,12,False,False,-3.170177936553955
trained,nth_item,7,6,1,10,12,2,False,False,-4.3267598152160645
trained,nth_item,8,3,1,1,8,2,True,False,-3.964019536972046
trained,nth_item,9,9,1,1,27,2,True,False,-5.524389266967773
trained,nth_item,10,9,1,11,21,4,False,False,-4.929157257080078
trained,nth_item,11,5,1,1,6,2,True,False,-3.504626750946045
trained,nth_item,12,3,1,2,2,2,False,False,-2.75884747505188
trained,nth_item,13,2,1,7,9,18,False,False,-3.74922513961792
trained,nth_item,14,3,1,4,9,2,False,False,-4.264680862426758
trained,nth_item,15,9,1,6,12,10,False,False,-4.344672679901123
trained,last_item,0,2,1,4,5,3,False,False,-4.317981243133545
trained,last_item,1,0,1,10,10,37,False,False,-5.1346845626831055
trained,last_item,2,3,1,4,5,16,False,False,-4.59231424331665
trained,last_item,3,0,1,11,11,3,False,False,-5.378007888793945
trained,last_item,4,7,1,5,7,4,False,False,-4.657632350921631
trained,last_item,5,3,1,3,4,9,False,False,-3.845837354660034
trained,last_item,6,9,1,3,7,3,False,False,-4.957137584686279
trained,last_item,7,2,1,1,4,4,True,False,-4.341102600097656
trained,last_item,8,9,1,4,5,9,False,False,-4.319608211517334
trained,last_item,9,6,1,3,5,15,False,False,-4.4700517654418945
trained,last_item,10,3,1,2,6,4,False,False,-4.594666957855225
trained,last_item,11,8,1,2,6,6,False,False,-4.666629791259766
trained,last_item,12,2,1,3,5,3,False,False,-4.209249973297119
trained,last_item,13,5,1,4,4,4,False,False,-4.075892925262451
trained,last_item,14,1,1,1,3,3,True,False,-3.5615148544311523
trained,last_item,15,1,1,1,3,3,True,False,-3.361943006515503
trained,add1,0,2,1,1,7,5,True,False,-3.751152515411377
trained,add1,1,7,1,2,16,5,False,False,-4.943282604217529
trained,add1,2,3,1,1,31,4,True,False,-6.134581089019775
trained,add1,3,6,1,1,26,5,True,False,-5.590132713317871
trained,add1,4,5,1,1,35,5,True,False,-6.511593341827393
trained,add1,5,2,1,1,7,5,True,False,-3.751171588897705
trained,add1,6,4,1,1,30,5,True,False,-6.250527858734131
trained,add1,7,9,1,1,28,5,True,False,-6.099524021148682
trained,add1,8,7,1,2,16,5,False,False,-4.943310737609863
trained,add1,9,7,1,1,16,4,True,False,-4.943290710449219
trained,add1,10,8,1,1,22,5,True,False,-5.664525985717773
trained,add1,11,2,1,1,7,5,True,False,-3.7513110637664795
trained,add1,12,1,1,1,5,4,True,False,-3.2914223670959473
trained,add1,13,2,1,1,7,5,True,False,-3.751316547393799
trained,add1,14,5,1,1,35,5,True,False,-6.511586666107178
trained,add1,15,3,1,2,31,4,False,False,-6.134586811065674
trained,sub1,0,3,1,1,16,5,True,False,-5.0136942863464355
trained,sub1,1,8,1,4,15,6,False,False,-5.0085272789001465
trained,sub1,2,3,1,2,16,5,False,False,-5.013733386993408
trained,sub1,3,2,1,2,7,2,False,False,-4.562801361083984
trained,sub1,4,2,1,2,7,2,False,False,-4.562777519226074
trained,sub1,5,1,1,2,9,2,False,False,-4.439813613891602
trained,sub1,6,7,1,4,13,6,False,False,-4.850922584533691
trained,sub1,7,0,1,2,21,7,False,False,-4.937542915344238
trained,sub1,8,1,1,1,9,2,True,False,-4.439835071563721
trained,sub1,9,5,1,2,28,7,False,False,-5.810635089874268
trained,sub1,10,4,1,1,9,6,True,False,-4.37409782409668
trained,sub1,11,5,1,3,28,5,False,False,-5.810633659362793
trained,sub1,12,0,1,1,21,6,True,False,-4.936338424682617
