family,item,n_draws,n_correct,median_best_rank,min_best_rank,max_best_rank,best_depth_min,best_depth_max,multi_token_gold,gold,frac_correct,splits,rank_spread
add1,0,24,23,1.0,1,2,2,5,False,2,0.9583333333333334,True,2.0
add1,1,24,17,1.0,1,3,4,7,False,7,0.7083333333333334,True,3.0
add1,2,24,16,1.0,1,3,4,5,False,3,0.6666666666666666,True,3.0
add1,3,24,23,1.0,1,2,5,6,False,6,0.9583333333333334,True,2.0
add1,4,24,14,1.0,1,3,4,8,False,5,0.5833333333333334,True,3.0
add1,5,24,22,1.0,1,2,2,5,False,2,0.9166666666666666,True,2.0
add1,6,24,24,1.0,1,1,2,5,False,4,1.0,False,1.0
add1,7,24,18,1.0,1,4,3,8,False,9,0.75,True,4.0
add1,8,24,16,1.0,1,3,4,7,False,7,0.6666666666666666,True,3.0
add1,9,24,17,1.0,1,3,4,7,False,7,0.7083333333333334,True,3.0
add1,10,24,9,2.0,1,4,2,8,False,8,0.375,True,4.0
add1,11,24,23,1.0,1,2,2,6,False,2,0.9583333333333334,True,2.0
add_2d,0,24,3,2.5,1,4,5,6,True,63,0.125,True,4.0
add_2d,1,24,3,2.0,1,4,3,6,True,74,0.125,True,4.0
add_2d,2,24,18,1.0,1,2,4,5,True,44,0.75,True,2.0
add_2d,3,24,2,3.0,1,5,4,5,True,57,0.08333333333333333,True,5.0
add_2d,4,24,23,1.0,1,2,4,6,True,43,0.9583333333333334,True,2.0
add_2d,5,24,14,1.0,1,3,5,6,True,68,0.5833333333333334,True,3.0
add_2d,6,24,1,2.0,1,5,3,5,True,71,0.041666666666666664,True,5.0
add_2d,7,24,17,1.0,1,3,4,6,True,79,0.7083333333333334,True,3.0
add_2d,8,24,9,2.0,1,4,5,6,True,61,0.375,True,4.0
add_2d,9,24,11,2.0,1,3,3,6,True,75,0.4583333333333333,True,3.0
add_2d,10,24,3,3.0,1,5,1,6,True,54,0.125,True,5.0
add_2d,11,24,0,5.5,2,9,1,6,True,80,0.0,False,4.5
caesar1_letter,0,24,0,4.0,3,7,4,8,False,n,0.0,False,2.3333333333333335
caesar1_letter,1,24,0,4.0,3,7,4,8,False,n,0.0,False,2.3333333333333335
caesar1_letter,2,24,0,4.0,2,4,4,15,False,g,0.0,False,2.0
caesar1_letter,3,24,0,5.0,4,6,7,15,False,j,0.0,False,1.5
caesar1_letter,4,24,17,1.0,1,2,3,11,False,b,0.7083333333333334,True,2.0
caesar1_letter,5,24,0,6.0,4,7,8,12,False,t,0.0,False,1.75
caesar1_letter,7,24,0,3.0,3,4,8,16,False,e,0.0,False,1.3333333333333333
caesar1_letter,9,24,0,3.0,2,4,4,13,False,g,0.0,False,2.0
caesar1_letter,10,24,0,10.0,6,16,4,12,False,u,0.0,False,2.6666666666666665
compare,0,24,24,1.0,1,1,2,3,True,83,1.0,False,1.0
compare,1,24,17,1.0,1,3,2,5,True,54,0.7083333333333334,True,3.0
compare,2,24,6,2.0,1,3,3,6,True,52,0.25,True,3.0
compare,3,24,24,1.0,1,1,3,6,True,89,1.0,False,1.0
compare,4,24,24,1.0,1,1,3,6,True,75,1.0,False,1.0
compare,5,24,24,1.0,1,1,2,2,True,96,1.0,False,1.0
compare,6,24,24,1.0,1,1,3,5,True,82,1.0,False,1.0
compare,7,24,21,1.0,1,2,2,4,True,55,0.875,True,2.0
compare,8,24,24,1.0,1,1,2,6,True,92,1.0,False,1.0
compare,9,24,24,1.0,1,1,2,6,True,46,1.0,False,1.0
