family,test,stat,p,q_project_wide,sig_project_wide,q_per_experiment,sig_per_experiment,sig_raw
three_scale,winding~irrelevant_len [multivariate],-0.48791666666666655,6.943312371057898e-11,1.8883313601443224e-09,True,4.515574991649466e-10,True,True
three_scale,winding~irrelevant_len [per-row],-0.4600193439906431,8.210136348453575e-11,1.8883313601443224e-09,True,4.515574991649466e-10,True,True
dissociation_15seed,local steps_settle~n_ops [per-row],-0.5762660066867937,2.795245408652385e-09,4.2860429599336574e-08,True,2.236196326921908e-08,True,True
dissociation_15seed,track steps_settle~n_ops [per-row],0.557623724714496,1.1355340232627333e-08,1.3058641267521431e-07,True,4.542136093050933e-08,True,True
switch,steps_settle~n_ops [per-row],0.6149283075051097,1.7197933442773756e-07,1.5822098767351857e-06,True,6.879173377109502e-07,True,True
maxtask,winding~n_ops [per-row],0.63576441375884,1.2017131560563664e-06,9.213134196432143e-06,True,4.8068526242254655e-06,True,True
counting,steps_settle~n_ops [per-row],0.7184470814132444,7.782790478595201e-06,5.114405171648275e-05,True,3.1131161914380806e-05,True,True
three_scale,winding~seq_len [per-row],-0.304287318189253,3.282722339017144e-05,0.0001887565344934858,True,0.00012036648576396195,True,True
dissociation_5seed,local steps_settle~n_ops [per-row],-0.6719230500246407,4.782762734830639e-05,0.00024445231755801047,True,0.0003826210187864511,True,True
dissociation_5seed,track steps_settle~n_ops [per-row],0.6122954136768052,0.00032296916622983875,0.0014856581646572583,True,0.001291876664919355,True,True
three_scale,winding~seq_len [per-level],-0.6335042735042735,0.0005123676139676468,0.002142628203864705,True,0.0014090109384110286,True,True
counting,winding~n_ops [per-row],0.5536019608871029,0.001505923225776265,0.005772705698809016,True,0.00301184645155253,True,True
dissociation_15seed,track winding~n_ops [per-row],0.32368542300296244,0.0018578677937830207,0.006573993731847611,True,0.004954314116754722,True,True
dissoc_multiinit,"track steps_settle~n_ops [per-level, pooled]",0.8424242424242423,0.0022200312259168433,0.007294388313726771,True,0.004440062451833687,True,True
maxtask,steps_settle~n_ops [per-row],-0.40988634507526145,0.00381302846458442,0.011693287291392221,True,0.006406219630709407,True,True
counting,winding~n_ops [per-level],0.942857142857143,0.004804664723032055,0.012278587625526364,True,0.006406219630709407,True,True
maxtask,winding~n_ops [per-level],0.942857142857143,0.004804664723032055,0.012278587625526364,True,0.006406219630709407,True,True
dissociation_5seed,local winding~n_ops [per-level],-0.942857142857143,0.004804664723032055,0.012278587625526364,True,0.012812439261418814,True,True
counting,steps_settle~n_ops [per-level],0.9276336570439175,0.00766584418747316,0.018559412243356072,True,0.00766584418747316,True,True
forceloop,"unsettled n_ops=8 vs 24 [Fisher, ns=16]",,0.0101010101010101,0.02323232323232323,True,0.0101010101010101,True,True
dissociation_5seed,local steps_settle~n_ops [per-level],-0.8116794499134279,0.04985758510134036,0.10424767793916621,False,0.06764803836334227,False,True
dissociation_5seed,track steps_settle~n_ops [per-level],0.8116794499134279,0.04985758510134036,0.10424767793916621,False,0.06764803836334227,False,True
dissociation_5seed,track winding~n_ops [per-row],0.352907156329253,0.0557634390458025,0.10702066260751404,False,0.06764803836334227,False,False
three_scale,winding~active_len [multivariate],0.13009259259259315,0.05583686744739863,0.10702066260751404,False,0.122841108384277,False,False
dissociation_5seed,local winding~n_ops [per-row],-0.34839716072121146,0.05919203356792448,0.10891334176498106,False,0.06764803836334227,False,False
switch,steps_settle~n_ops [per-level],0.7826908981308054,0.06570384807158905,0.11483582989846185,False,0.1314076961431781,False,False
