tag,block,family,item,gold,correct,best_rank,best_depth,n_tokens,h0_seed,state_sha,natural_window,log_rank,window_k,window,pr,cos_consecutive,contraction,settle
echo_digit_i00,main,echo_digit,0,4,True,1,2,21,,e62c0facbe7395d1,49,0.0,10.0,10,8.11938126338914,0.1726366232709122,0.8253646563926389,10.0
echo_digit_i00,main,echo_digit,0,4,True,1,2,21,,e62c0facbe7395d1,49,0.0,20.0,20,12.12227606467952,0.209783527661345,0.8514775781029262,20.0
echo_digit_i00,main,echo_digit,0,4,True,1,2,21,,e62c0facbe7395d1,49,0.0,30.0,30,11.577949102971603,0.21573778503701882,0.8551349689949086,30.0
echo_digit_i00,main,echo_digit,0,4,True,1,2,21,,e62c0facbe7395d1,49,0.0,40.0,40,11.517685246026456,0.26933437929449194,0.8583073376287873,30.0
echo_digit_i00,main,echo_digit,0,4,True,1,2,21,,e62c0facbe7395d1,49,0.0,,49,11.371494561142573,0.3249299072428682,0.8606766637588259,30.0
echo_digit_i01,main,echo_digit,1,1,True,1,3,21,,4f1ee3e5c1904662,48,0.0,10.0,10,8.20118256750459,0.10878033961820714,0.8480568204608477,10.0
echo_digit_i01,main,echo_digit,1,1,True,1,3,21,,4f1ee3e5c1904662,48,0.0,20.0,20,12.566731604159235,0.17889564953700857,0.8484322725432384,20.0
echo_digit_i01,main,echo_digit,1,1,True,1,3,21,,4f1ee3e5c1904662,48,0.0,30.0,30,12.710269574725569,0.2006806070246936,0.8516537924887929,30.0
echo_digit_i01,main,echo_digit,1,1,True,1,3,21,,4f1ee3e5c1904662,48,0.0,40.0,40,12.497302939572322,0.2613934658809468,0.8590294754594294,30.0
echo_digit_i01,main,echo_digit,1,1,True,1,3,21,,4f1ee3e5c1904662,48,0.0,,48,11.853892460129465,0.296819928572691,0.86192497362444,30.0
echo_digit_i02,main,echo_digit,2,7,True,1,2,21,,83acf180ad939956,48,0.0,10.0,10,7.832108352757441,0.102771354075256,0.8522684019240272,10.0
echo_digit_i02,main,echo_digit,2,7,True,1,2,21,,83acf180ad939956,48,0.0,20.0,20,10.169095656501263,0.06950132701498407,0.8652496725414761,20.0
echo_digit_i02,main,echo_digit,2,7,True,1,2,21,,83acf180ad939956,48,0.0,30.0,30,8.293001004610097,0.03988084735389683,0.8721616161219192,30.0
echo_digit_i02,main,echo_digit,2,7,True,1,2,21,,83acf180ad939956,48,0.0,40.0,40,7.114664850793526,0.03604288763517422,0.8708946358614008,33.0
echo_digit_i02,main,echo_digit,2,7,True,1,2,21,,83acf180ad939956,48,0.0,,48,6.714453912308078,0.05518101702562301,0.8703167013165151,33.0
echo_digit_i03,main,echo_digit,3,4,True,1,2,21,,ebc7ec237dd63797,48,0.0,10.0,10,7.581818744911456,0.056855302525479386,0.8516714504904135,10.0
echo_digit_i03,main,echo_digit,3,4,True,1,2,21,,ebc7ec237dd63797,48,0.0,20.0,20,7.607765697236794,-0.00020559910564775372,0.8689410154749443,20.0
echo_digit_i03,main,echo_digit,3,4,True,1,2,21,,ebc7ec237dd63797,48,0.0,30.0,30,6.312634725756259,-0.01890741065254849,0.8685519804343912,30.0
echo_digit_i03,main,echo_digit,3,4,True,1,2,21,,ebc7ec237dd63797,48,0.0,40.0,40,6.267481026463419,0.029357012042878265,0.865749018390408,32.0
echo_digit_i03,main,echo_digit,3,4,True,1,2,21,,ebc7ec237dd63797,48,0.0,,48,6.621174995784771,0.09150024217061173,0.8655209118071029,32.0
echo_digit_i04,main,echo_digit,4,6,True,1,4,21,,25aedf08228254c6,48,0.0,10.0,10,8.14752995574302,0.1677129550871967,0.8274481754721562,10.0
echo_digit_i04,main,echo_digit,4,6,True,1,4,21,,25aedf08228254c6,48,0.0,20.0,20,12.584550532784853,0.19730863301991197,0.8487421146145846,20.0
echo_digit_i04,main,echo_digit,4,6,True,1,4,21,,25aedf08228254c6,48,0.0,30.0,30,12.460731817512896,0.21538559527172377,0.853908588374338,30.0
echo_digit_i04,main,echo_digit,4,6,True,1,4,21,,25aedf08228254c6,48,0.0,40.0,40,12.65669838098079,0.27955565809535177,0.8582074840935847,30.0
echo_digit_i04,main,echo_digit,4,6,True,1,4,21,,25aedf08228254c6,48,0.0,,48,11.821820923610453,0.33490993591786644,0.8615588637589578,30.0
echo_digit_i05,main,echo_digit,5,3,True,1,2,21,,8283435e33111fac,48,0.0,10.0,10,8.027350127823876,0.1529877622950904,0.860527136592088,10.0
echo_digit_i05,main,echo_digit,5,3,True,1,2,21,,8283435e33111fac,48,0.0,20.0,20,10.95903716483635,0.1370929612663526,0.8649525564880687,20.0
echo_digit_i05,main,echo_digit,5,3,True,1,2,21,,8283435e33111fac,48,0.0,30.0,30,9.725064535409873,0.1473702835650419,0.8683012117332553,30.0
echo_digit_i05,main,echo_digit,5,3,True,1,2,21,,8283435e33111fac,48,0.0,40.0,40,9.461879605194863,0.1870217261772119,0.8664559077101351,32.0
echo_digit_i05,main,echo_digit,5,3,True,1,2,21,,8283435e33111fac,48,0.0,,48,9.406997601606923,0.23193314317147878,0.8661489941590876,32.0
echo_digit_i06,main,echo_digit,6,9,True,1,3,21,,67b24c2586bb642e,48,0.0,10.0,10,8.189714986466143,0.1344618329667372,0.8594591057764029,10.0
echo_digit_i06,main,echo_digit,6,9,True,1,3,21,,67b24c2586bb642e,48,0.0,20.0,20,9.807682567668806,0.08237159041944535,0.8781473850124858,20.0
echo_digit_i06,main,echo_digit,6,9,True,1,3,21,,67b24c2586bb642e,48,0.0,30.0,30,7.284013679617778,0.0289310727529061,0.8754673109343882,30.0
echo_digit_i06,main,echo_digit,6,9,True,1,3,21,,67b24c2586bb642e,48,0.0,40.0,40,5.943567858732276,0.003634381552532745,0.874195451416023,33.0
echo_digit_i06,main,echo_digit,6,9,True,1,3,21,,67b24c2586bb642e,48,0.0,,48,5.502178336966464,0.0071070516666149565,0.8744010252339962,33.0
echo_digit_i07,main,echo_digit,7,4,True,1,2,21,,8fa8ebc5cc9780d9,49,0.0,10.0,10,7.935030134828567,0.07191128540055183,0.8527200562678312,10.0
echo_digit_i07,main,echo_digit,7,4,True,1,2,21,,8fa8ebc5cc9780d9,49,0.0,20.0,20,8.619263483671777,0.0235505426419961,0.867197859952549,20.0
echo_digit_i07,main,echo_digit,7,4,True,1,2,21,,8fa8ebc5cc9780d9,49,0.0,30.0,30,7.210177737683115,0.01699086810550887,0.8625040856565216,30.0
echo_digit_i07,main,echo_digit,7,4,True,1,2,21,,8fa8ebc5cc9780d9,49,0.0,40.0,40,7.341742491085065,0.07701978200120352,0.8618253503347573,31.0
echo_digit_i07,main,echo_digit,7,4,True,1,2,21,,8fa8ebc5cc9780d9,49,0.0,,49,7.694814603959859,0.14263832610330757,0.8627856935886785,31.0
echo_digit_i08,main,echo_digit,8,5,True,1,4,21,,37c185d4cf46620f,48,0.0,10.0,10,8.041252053832,0.19174832490466265,0.841314051691568,10.0
