metric,window_k,n_families,alpha,usable,capability_defined,length_defined,rho_capability,p_capability,rho_log_rank,p_log_rank,rho_length,p_length,rho_window,p_window,sig_capability,sig_length,sigma2_family,sigma2_within_family,sigma2_h0,sigma2_item,h0_share,reliability,ceiling,band_lo,band_hi,wide_lo,wide_hi,null_is_readable,why
pr,10.0,21,0.00625,True,True,True,-0.19791328249795537,0.3898055204350777,0.15454545454545454,0.5035678584762259,-0.26064360779390233,0.25381035797165125,,,False,False,0.16622901962350953,0.04942047170243072,0.06995752577050948,0.0,1.4155576294725787,0.9877639296861102,0.9938631342826386,0.984611566080172,0.997559474405192,0.9714449172575097,0.9983299418446568,True,
cos_consecutive,10.0,21,0.00625,True,True,True,-0.045722540511078796,0.8439845877891906,0.06103896103896104,0.7926796536257745,0.32694198184621664,0.14800833250011064,,,False,False,0.0028671828969841257,0.0011722302956454534,0.0012906015694862994,0.0,1.1009795381339027,0.9832501727007199,0.9915897199450587,0.9789470775422648,0.9966530782034899,0.9544926221368621,0.9977377397925623,True,
contraction,10.0,21,0.00625,True,True,True,0.11757224702848833,0.6117629239967953,-0.087012987012987,0.7076308010268806,0.18329550473286899,0.42643641767514606,,,False,False,0.00030847005868656763,7.080486157343927e-05,5.541824515032391e-05,1.5386616423115363e-05,0.7826898311614343,0.9905266197077285,0.9952520382836342,0.9880817821372566,0.9981126094471056,0.9693873729124719,0.9988862390012293,True,
settle,10.0,21,0.00625,False,,,,,,,,,,,False,False,,,,,,,,,,,,False,"settle takes 1 distinct values over 21 families; no correlation is defined, which is not the same as one being zero"
pr,20.0,21,0.00625,True,True,True,-0.3311618291302421,0.14253981969664328,0.37792207792207794,0.09119661406939472,0.10854733790918125,0.6395304124537002,,,False,False,0.979148723267961,0.8073971375012696,0.47482717485593695,0.3325699626453327,0.5880961831564461,0.9667833031474173,0.9832513936666539,0.9583364902784853,0.99331794793989,0.9054442383502802,0.9963415124904025,True,
cos_consecutive,20.0,21,0.00625,True,True,True,0.09079190187199933,0.6955059598268731,-0.1064935064935065,0.6459166351388025,0.06759834217098713,0.7709450121542399,,,False,False,0.008565294255454008,0.0030458867495362987,0.0022314254905864165,0.0008144612589498822,0.7326029081436221,0.9853993399456614,0.9926728262351405,0.9816433421140729,0.9970850612965788,0.9648128206803059,0.9979685167140062,True,
contraction,20.0,21,0.00625,True,True,True,-0.038537569859337845,0.8682762134757579,0.07792207792207792,0.7370748924266822,0.5303869924185145,0.01338283811367189,,,False,False,0.0002212313188556486,5.248971878083463e-05,4.970421115950082e-05,2.78550762133381e-06,0.9469323195850142,0.9902108702365442,0.9950933977454298,0.9876850452104817,0.9980494538646452,0.9752862825105914,0.9987441039839706,True,
settle,20.0,21,0.00625,False,,,,,,,,,,,False,False,,,,,,,,,,,,False,"settle takes 1 distinct values over 21 families; no correlation is defined, which is not the same as one being zero"
pr,30.0,21,0.00625,True,True,True,-0.2873988260696381,0.20650390838179986,0.38831168831168833,0.08194343705246764,0.3984402283732223,0.07361402135044394,-0.29541957835039856,0.193554991566376,False,False,1.968194758598451,2.3577421964534313,1.5755434588065447,0.7821987376468866,0.6682424656845487,0.9524595233200577,0.9759403277455326,0.9404760427326883,0.9903797976290242,0.7961506884312963,0.9943681362235767,True,
cos_consecutive,30.0,21,0.00625,True,True,True,0.0065317915015826854,0.9775826172375963,-0.03506493506493507,0.8800592616595699,-0.021449473958101685,0.9264714800174666,0.33234702564419843,0.14102988590229734,False,False,0.013008788224556313,0.004891828287933464,0.0031556070472164677,0.0017362212407169967,0.6450772311449106,0.984573365085549,0.992256703220265,0.980606931487575,0.9969191294093874,0.9609304441895123,0.997986665691417,True,
