start,feature,arm,usable,n,balanced_accuracy,null_mean,null_p95,p,sig
0,shape,plain,True,320,0.5019088016967126,0.46603472958642633,0.506474019088017,0.08728179551122195,False
0,position,plain,True,320,0.48918345705196187,0.464157211028632,0.5052226935312831,0.14962593516209477,False
0,shape,+best_depth,True,320,0.5100742311770944,0.4661728525980912,0.506474019088017,0.034912718204488775,False
6,shape,plain,True,320,0.5195121951219512,0.4683263520678685,0.5046129374337222,0.012468827930174564,False
6,position,plain,True,320,0.5386002120890774,0.4657203075291622,0.5062831389183458,0.004987531172069825,True
6,shape,+best_depth,True,320,0.5154825026511134,0.46777492046659597,0.5016171792152705,0.014962593516209476,False
12,shape,plain,True,320,0.45970307529162246,0.47265243902439025,0.5023329798515376,0.770573566084788,False
12,position,plain,True,320,0.4831389183457052,0.47333271474019084,0.5108589607635206,0.35910224438902744,False
12,shape,+best_depth,True,320,0.4687168610816543,0.4725246553552492,0.5053181336161188,0.5860349127182045,False
18,shape,plain,True,320,0.4705196182396607,0.48059040296924704,0.508287380699894,0.7256857855361596,False
18,position,plain,True,320,0.4774125132555674,0.48005196182396603,0.5176299045599152,0.5386533665835411,False
18,shape,+best_depth,True,320,0.4857900318133616,0.4797841993637328,0.5096924708377518,0.3316708229426434,False
24,shape,plain,True,320,0.4702014846235419,0.48691542948038175,0.5142364793213149,0.9002493765586035,False
24,position,plain,True,320,0.48525980911983024,0.48159862142099685,0.5176299045599152,0.4339152119700748,False
24,shape,+best_depth,True,320,0.4583244962884411,0.486148197242842,0.5145387062566277,0.9750623441396509,False
30,shape,plain,True,320,0.48080593849416753,0.48758377518557794,0.5093319194061505,0.685785536159601,False
30,position,plain,True,320,0.48356309650053025,0.47825132555673383,0.5091622481442205,0.36159600997506236,False
30,shape,+best_depth,True,320,0.48218451749734886,0.4870145811240721,0.5136956521739131,0.6134663341645885,False
36,shape,plain,True,320,0.49056203605514315,0.49526060445387066,0.5209968186638388,0.6109725685785536,False
36,position,plain,True,320,0.4990455991516437,0.4777600742311771,0.5039660657476139,0.09725685785536159,False
36,shape,+best_depth,True,320,0.4870625662778367,0.4950029162248144,0.5218822905620359,0.6957605985037406,False
44,shape,plain,True,320,0.5201484623541888,0.5010580593849417,0.5277836691410391,0.10972568578553615,False
44,position,plain,True,320,0.4816542948038176,0.4826601272534464,0.5055143160127253,0.5087281795511222,False
44,shape,+best_depth,True,320,0.5190880169671261,0.5006593319194061,0.5269512195121951,0.12718204488778054,False
