arm,kind,n_ops,seed,rho,arg,turns,n_osc,lead_is_real,n_tokens,matvecs,secs
trained,track,4,0,0.8254775119028624,1.1006669660483113,4.206185406385198,8,False,22,333,37.8
trained,local,4,0,0.8685971821521684,0.34016016879033745,1.7697538661402425,6,True,25,212,27.6
trained,track,4,1,0.8162077110350846,1.0890088344404196,3.930215457868856,7,False,22,237,33.6
trained,local,4,1,0.940303209541592,1.7166232183883974,20.440538499506726,7,True,25,392,58.0
trained,track,8,0,0.8156915727557696,1.0754092851853463,3.8690837105270637,7,False,34,987,206.2
trained,local,8,0,0.8087607122817438,0.36729059059481883,1.2683042365893435,8,False,37,362,82.0
trained,track,8,1,0.7948175297098312,1.0579455923884995,3.3765756206312023,7,True,34,326,73.5
trained,local,8,1,0.9452963284929812,1.7710154577351755,23.07347176434039,7,True,37,1065,225.9
trained,track,12,0,0.8206112401305347,1.0789796676944305,3.999996977649843,7,False,46,378,88.6
trained,local,12,0,0.8008203669290141,0.4003517982605199,1.3210602855428422,8,False,49,352,84.0
trained,track,12,1,0.8053263047203775,1.0676062391056096,3.614127753134191,7,False,46,399,93.0
trained,local,12,1,0.81740834656579,0.7663584798429139,2.785939743655468,7,True,49,340,81.4
trained,track,16,0,0.8076891154853914,1.0667477420682667,3.660757207058658,7,True,58,246,70.8
trained,local,16,0,0.8011774522583289,0.4240178180601211,1.4019659972271439,7,False,61,311,92.5
trained,track,16,1,0.7798588253086234,1.0546425135465236,3.108822706970777,7,False,58,475,135.9
trained,local,16,1,0.8636662012632913,0.7367664006157033,3.684289282614505,7,True,61,890,248.0
trained,track,24,0,0.8109082282354947,1.0694874569027286,3.739809022117407,7,True,82,327,119.0
trained,local,24,0,0.8141767658611454,0.4316109170187227,1.5387996054461186,8,False,85,1106,380.7
trained,track,24,1,0.8063934593499192,1.0685454568326664,3.6395682344704796,7,False,82,360,129.1
trained,local,24,1,0.794833094657374,0.4400918884725612,1.404732230432835,8,False,85,298,111.8
trained,track,32,0,0.8109891527630056,0.7888487054819421,2.7597787219583836,7,True,106,398,148.6
trained,track,32,1,0.777134830888125,0.7661599344358695,2.2271069107769823,8,False,106,245,95.9
trained,local,32,1,0.7955804273967791,0.4315626523701917,1.3831687093889777,8,False,109,1312,463.2
untrained,local,8,0,0.7210063707260146,0.724856448786406,1.6241553949080707,8,False,37,2675,554.5
untrained,local,12,0,0.7265055321957069,1.8915569282123759,4.339122290769031,8,False,49,2432,534.6
untrained,local,16,0,0.7263878114863702,1.891572740252824,4.336958925253903,8,False,61,3669,1022.0
untrained,track,24,0,0.7263802435947754,1.8915820217593646,4.336838861384397,8,False,82,2729,909.1
untrained,local,24,0,0.726433453396177,1.891588030613845,4.337846596270795,8,False,85,3053,1028.8
