prompt,n_orbits,n_pairs_used,rho_median,rho_p05,rho_p95,rho_max,frac_pairs_rho_ge_1,floor_median
add1_i08,32,60,0.8488428701195696,0.8401863915285938,0.8600785291303903,0.8611816605659262,0.0,0.00476394845240775
add1_i10,32,60,0.8545663871712406,0.8455374312927914,0.8630385980948225,0.8680708321694143,0.0,0.0071421326909971595
add_2d_i00,32,60,0.8354194302103288,0.8273471805996041,0.8417940459193678,0.8450217619852722,0.0,0.002249782897783967
add_2d_i01,32,60,0.8316994769826345,0.8249399346741584,0.8374592057777648,0.8416884820650503,0.0,0.0018384732557494988
caesar1_letter_i02,32,60,0.8737933715789117,0.8470328765452075,0.9151399201441889,0.9184496926079057,0.0,0.019756264320136278
caesar1_letter_i12,32,60,0.8756440207603373,0.847183678564482,0.9128978479099678,0.9157854281015858,0.0,0.02008368889451677
compare_i02,32,60,0.8555069147511862,0.8400611400145247,0.8635678862374402,0.8658510921915955,0.0,0.0053301034932034036
compare_i07,32,60,0.8387212120498782,0.8337229271848429,0.8468004392449447,0.8486694450773861,0.0,0.0025585747772346283
count16_i17,32,60,0.8997186442385461,0.8885261888004659,0.9174503431336661,0.9204678537056974,0.0,0.145635993578504
count4_i01,32,60,0.9014496738127671,0.8837117941620639,0.9158560130561415,0.9245142477819124,0.0,0.214467218737255
count8_i21,32,60,0.8982313368905102,0.8841975083944552,0.9162843855854028,0.9245040057371049,0.0,0.09975492645991443
count_mod3_i02,32,60,0.8780306938743452,0.8654210920516509,0.8863730482293389,0.8897514571056984,0.0,0.02894601287794845
count_mod3_i04,32,60,0.8720305880799664,0.8610389314150036,0.8799751634298929,0.8823291841852658,0.0,0.021541249534337434
echo_word_i03,32,60,0.8475459183685341,0.8332196939717418,0.8598051577052614,0.8644698327636953,0.0,0.14964666324569434
echo_word_i10,32,60,0.8452023379837266,0.8321782735335916,0.8559524433818454,0.8636234181334056,0.0,0.13009266744080858
last_item_i00,32,60,0.8499598282137045,0.8428932422361614,0.8627532464001495,0.8700752384524776,0.0,0.0056029787417549645
