bank,tag,family,window,rank,rank_requested,rank_clamped,r2_linear,r2_scalar,r2_scalar_in_basis,r2_persistence,in_basis,rho,n_train,n_test,achieved
ds_bank,trained_track_n4_ns128_seed0,track,89,2,2,False,0.9444727408624145,0.7989273357110549,0.8021056568615578,0.9205797070074924,0.9461212894772427,0.609249589386948,52,36,0.9982575715892208
ds_bank,trained_track_n4_ns128_seed0,track,89,4,4,False,0.9473453513855759,0.7989273357110549,0.803364045342989,0.9205797070074924,0.9494157457924396,0.609249589386948,52,36,0.9978192963240401
ds_bank,trained_track_n4_ns128_seed0,track,89,8,8,False,0.9490143785931199,0.7989273357110549,0.8040564626379888,0.9205797070074924,0.9517311448261159,0.609249589386948,52,36,0.9971454478002899
ds_bank,trained_track_n4_ns128_seed0,track,89,16,16,False,0.9504148995367435,0.7989273357110549,0.8042399223787968,0.9205797070074924,0.953990335394929,0.609249589386948,52,36,0.9962521257024001
ds_bank,trained_track_n4_ns128_seed0,track,89,32,32,False,0.9673968990040519,0.7989273357110549,0.812673986764108,0.9205797070074924,0.9703252849675508,0.609249589386948,52,36,0.9969820574513867
ds_bank,trained_local_n4_ns128_seed0,local,96,2,2,False,0.8950949944084654,0.8633473127735335,0.8192345192556942,0.928877942077382,0.8955478816348166,0.7059912663001201,57,38,0.9994942903270293
ds_bank,trained_local_n4_ns128_seed0,local,96,4,4,False,0.9188994480290877,0.8633473127735335,0.8437414221019157,0.928877942077382,0.9227546541285311,0.7059912663001201,57,38,0.9958220681064087
ds_bank,trained_local_n4_ns128_seed0,local,96,8,8,False,0.9631894920529495,0.8633473127735335,0.8817200795267012,0.928877942077382,0.9651465553887792,0.7059912663001201,57,38,0.997972263046578
ds_bank,trained_local_n4_ns128_seed0,local,96,16,16,False,0.963642227287694,0.8633473127735335,0.8819170266520837,0.928877942077382,0.9663612263578902,0.7059912663001201,57,38,0.99718635330554
ds_bank,trained_local_n4_ns128_seed0,local,96,32,32,False,0.970348963533364,0.8633473127735335,0.8835482077005572,0.928877942077382,0.9729762576216845,0.7059912663001201,57,38,0.9972997346361333
ds_bank,trained_count_ones_n4_ns128_seed0,count_ones,102,2,2,False,0.9324686198983784,0.28130286178121944,0.2951931845430903,0.062017257081166455,0.9333034612877574,0.50517644312526,60,41,0.9991054984536035
ds_bank,trained_count_ones_n4_ns128_seed0,count_ones,102,4,4,False,0.9351862861078535,0.28130286178121944,0.2961628386355739,0.062017257081166455,0.9366137330800021,0.50517644312526,60,41,0.9984759491327823
ds_bank,trained_count_ones_n4_ns128_seed0,count_ones,102,8,8,False,0.9372648208759874,0.28130286178121944,0.296804912427016,0.062017257081166455,0.9408655904307401,0.50517644312526,60,41,0.9961729182240534
ds_bank,trained_count_ones_n4_ns128_seed0,count_ones,102,16,16,False,0.9514660026286176,0.28130286178121944,0.2989232308368517,0.062017257081166455,0.9550616231997834,0.50517644312526,60,41,0.9962351952127243
ds_bank,trained_count_ones_n4_ns128_seed0,count_ones,102,32,32,False,0.9622677330678903,0.28130286178121944,0.2972251159981646,0.062017257081166455,0.9659464286635971,0.50517644312526,60,41,0.9961916153043845
ds_bank,trained_track_n4_ns128_seed1,track,106,2,2,False,0.9833244872048148,0.8351794187851787,0.8404260050819881,0.9700064011587073,0.9842122035625384,0.6175091375437832,63,42,0.9990980437404553
ds_bank,trained_track_n4_ns128_seed1,track,106,4,4,False,0.984184300097715,0.8351794187851787,0.8408836202972376,0.9700064011587073,0.9850088059996548,0.6175091375437832,63,42,0.99916294565397
ds_bank,trained_track_n4_ns128_seed1,track,106,8,8,False,0.9850386560517511,0.8351794187851787,0.8415589623789792,0.9700064011587073,0.9862273905104781,0.6175091375437832,63,42,0.9987946649320785
ds_bank,trained_track_n4_ns128_seed1,track,106,16,16,False,0.9859127620222375,0.8351794187851787,0.8419414354026111,0.9700064011587073,0.987335874557021,0.6175091375437832,63,42,0.9985586338231436
ds_bank,trained_track_n4_ns128_seed1,track,106,32,32,False,0.9881678988336847,0.8351794187851787,0.8421915859720612,0.9700064011587073,0.9894956052594897,0.6175091375437832,63,42,0.9986581987643526
ds_bank,trained_local_n4_ns128_seed1,local,105,2,2,False,0.9096898075331163,0.9374094884961117,0.8559891777149224,0.9993551676029919,0.9126108775656538,0.7507884858902271,62,42,0.9967992162877465
ds_bank,trained_local_n4_ns128_seed1,local,105,4,4,False,0.9447346603585789,0.9374094884961117,0.8876242428481821,0.9993551676029919,0.9466089678484135,0.7507884858902271,62,42,0.9980199770406836
ds_bank,trained_local_n4_ns128_seed1,local,105,8,8,False,0.9725402822665352,0.9374094884961117,0.914110551719087,0.9993551676029919,0.9748818129388402,0.7507884858902271,62,42,0.9975981389320965
ds_bank,trained_local_n4_ns128_seed1,local,105,16,16,False,0.9828341541822696,0.9374094884961117,0.9220250988179497,0.9993551676029919,0.98335366540055,0.7507884858902271,62,42,0.9994716944304379
ds_bank,trained_local_n4_ns128_seed1,local,105,32,32,False,0.9968202050369027,0.9374094884961117,0.9348975800473678,0.9993551676029919,0.997149883072588,0.7507884858902271,62,42,0.9996693796576805
ds_bank,trained_count_ones_n4_ns128_seed1,count_ones,87,2,2,False,0.06920018345384393,0.6071577601185096,0.07532654617881263,0.6055404629628425,0.10706010228435536,0.6096840216314557,51,35,0.6463676194708449
ds_bank,trained_count_ones_n4_ns128_seed1,count_ones,87,4,4,False,0.21303272423532416,0.6071577601185096,0.1912834722983927,0.6055404629628425,0.2969213069555776,0.6096840216314557,51,35,0.717472000981041
ds_bank,trained_count_ones_n4_ns128_seed1,count_ones,87,8,8,False,0.6860285497704826,0.6071577601185096,0.5228029091657991,0.6055404629628425,0.7060772929532173,0.6096840216314557,51,35,0.9716054554043517
ds_bank,trained_count_ones_n4_ns128_seed1,count_ones,87,16,16,False,0.7658522900788336,0.6071577601185096,0.5514929944186957,0.6055404629628425,0.7785976564705084,0.6096840216314557,51,35,0.9836303560821756
ds_bank,trained_count_ones_n4_ns128_seed1,count_ones,87,32,32,False,0.8285602188323369,0.6071577601185096,0.5680229324066198,0.6055404629628425,0.8436751058254116,0.6096840216314557,51,35,0.9820844696154842
ds_bank,trained_track_n8_ns128_seed0,track,107,2,2,False,0.9587606887811881,0.8745546995524518,0.8684932604615019,0.9556412109800193,0.9593979689936599,0.6922012136966699,63,43,0.9993357498837107
ds_bank,trained_track_n8_ns128_seed0,track,107,4,4,False,0.9589321171468573,0.8745546995524518,0.8691174863719338,0.9556412109800193,0.9612861472561562,0.6922012136966699,63,43,0.9975511660955293
ds_bank,trained_track_n8_ns128_seed0,track,107,8,8,False,0.9716302721996912,0.8745546995524518,0.8798467403622117,0.9556412109800193,0.973893692953427,0.6922012136966699,63,43,0.9976759057275834
ds_bank,trained_track_n8_ns128_seed0,track,107,16,16,False,0.9745827783443763,0.8745546995524518,0.8798285029167674,0.9556412109800193,0.9765257625872242,0.6922012136966699,63,43,0.9980103092849285
ds_bank,trained_track_n8_ns128_seed0,track,107,32,32,False,0.9857751175176509,0.8745546995524518,0.8854067124405112,0.9556412109800193,0.9873176096088762,0.6922012136966699,63,43,0.9984376941358958
ds_bank,trained_local_n8_ns128_seed0,local,92,2,2,False,0.9470259517240116,0.8561108060332725,0.8511751033919557,0.9399307037933953,0.9487572125790689,0.678894951740976,54,37,0.9981752329973324
ds_bank,trained_local_n8_ns128_seed0,local,92,4,4,False,0.9529654685012252,0.8561108060332725,0.8549273524883366,0.9399307037933953,0.9540156696325081,0.678894951740976,54,37,0.9988991783209521
ds_bank,trained_local_n8_ns128_seed0,local,92,8,8,False,0.9565053204707699,0.8561108060332725,0.8585445718026552,0.9399307037933953,0.9586325486752969,0.678894951740976,54,37,0.997780976446641
ds_bank,trained_local_n8_ns128_seed0,local,92,16,16,False,0.9675591464874969,0.8561108060332725,0.867641662140201,0.9399307037933953,0.9704360024832901,0.678894951740976,54,37,0.9970355015802881
ds_bank,trained_local_n8_ns128_seed0,local,92,32,32,False,0.9724458996414728,0.8561108060332725,0.8688455689213256,0.9399307037933953,0.9749170793857295,0.678894951740976,54,37,0.9974652410994649
ds_bank,trained_count_ones_n8_ns128_seed0,count_ones,106,2,2,False,0.9478319121323913,0.30344473285420814,0.3009451049164108,0.10200437318515498,0.948374577063384,0.5384054895813202,63,42,0.9994277947299335
ds_bank,trained_count_ones_n8_ns128_seed0,count_ones,106,4,4,False,0.9659658555712736,0.30344473285420814,0.306657922756595,0.10200437318515498,0.9666814772164434,0.5384054895813202,63,42,0.9992597130885031
ds_bank,trained_count_ones_n8_ns128_seed0,count_ones,106,8,8,False,0.9706903724540948,0.30344473285420814,0.30818404227858565,0.10200437318515498,0.9717012649534572,0.5384054895813202,63,42,0.9989596674041473
ds_bank,trained_count_ones_n8_ns128_seed0,count_ones,106,16,16,False,0.9733636643060729,0.30344473285420814,0.30872608582936756,0.10200437318515498,0.9745529758667234,0.5384054895813202,63,42,0.9987796337499326
ds_bank,trained_count_ones_n8_ns128_seed0,count_ones,106,32,32,False,0.9843010217169309,0.30344473285420814,0.3104809610049545,0.10200437318515498,0.9856901145138441,0.5384054895813202,63,42,0.9985907408662626
ds_bank,trained_track_n8_ns128_seed1,track,80,2,2,False,0.029430881298930567,0.6034125428379873,0.032537560051693504,0.7596808821575856,0.05686970575577732,0.4666738174028994,47,32,0.5175142179444232
ds_bank,trained_track_n8_ns128_seed1,track,80,4,4,False,0.13400275840168197,0.6034125428379873,0.10212849280883818,0.7596808821575856,0.1881679755180088,0.4666738174028994,47,32,0.7121443382317577
ds_bank,trained_track_n8_ns128_seed1,track,80,8,8,False,0.1487617244322681,0.6034125428379873,0.15222573831614317,0.7596808821575856,0.26631604728186087,0.4666738174028994,47,32,0.5585909146316789
