n_levels,rho_true,power
4,0.1,0.084
4,0.2,0.0924
4,0.3,0.0972
4,0.4,0.114
4,0.5,0.1428
4,0.6,0.159
4,0.7,0.215
4,0.8,0.2818
4,0.9,0.4132
5,0.1,0.0868
5,0.2,0.0974
5,0.3,0.1132
5,0.4,0.1386
5,0.5,0.1692
5,0.6,0.232
5,0.7,0.2958
5,0.8,0.4086
5,0.9,0.5968
6,0.1,0.0662
6,0.2,0.0722
6,0.3,0.0948
6,0.4,0.1112
6,0.5,0.1632
6,0.6,0.2062
6,0.7,0.304
6,0.8,0.4384
6,0.9,0.664
7,0.1,0.0526
7,0.2,0.0586
7,0.3,0.0908
7,0.4,0.1126
7,0.5,0.1666
7,0.6,0.2336
7,0.7,0.345
7,0.8,0.5026
7,0.9,0.752
8,0.1,0.061
8,0.2,0.0814
8,0.3,0.1006
8,0.4,0.1592
8,0.5,0.2198
8,0.6,0.3138
8,0.7,0.452
8,0.8,0.64
8,0.9,0.8488
9,0.1,0.0662
9,0.2,0.0928
9,0.3,0.1222
9,0.4,0.178
9,0.5,0.2566
9,0.6,0.3708
9,0.7,0.5364
9,0.8,0.7238
9,0.9,0.9096
10,0.1,0.0612
10,0.2,0.0826
10,0.3,0.1256
10,0.4,0.1864
10,0.5,0.288
10,0.6,0.423
10,0.7,0.5856
10,0.8,0.7806
10,0.9,0.9408
15,0.1,0.067
15,0.2,0.0926
15,0.3,0.1704
15,0.4,0.2832
15,0.5,0.4402
15,0.6,0.641
15,0.7,0.8138
15,0.8,0.9426
15,0.9,0.9976
20,0.1,0.07
20,0.2,0.1164
20,0.3,0.2238
20,0.4,0.3662
20,0.5,0.5708
20,0.6,0.7712
20,0.7,0.9142
20,0.8,0.9898
20,0.9,1.0
30,0.1,0.076
30,0.2,0.1756
30,0.3,0.3162
30,0.4,0.555
30,0.5,0.7688
30,0.6,0.9196
30,0.7,0.9876
30,0.8,0.9998
30,0.9,1.0
50,0.1,0.0946
50,0.2,0.2708
50,0.3,0.5084
50,0.4,0.7894
50,0.5,0.943
50,0.6,0.9954
50,0.7,1.0
50,0.8,1.0
50,0.9,1.0
