usable,feature,target,group,scoring,n,n_classes,majority,trivial,accuracy,null_mean,null_p95,p,p_floor,why
True,shape,family,all,balanced_accuracy,152.0,7.0,0.21052631578947367,0.14285714285714285,0.9714285714285715,0.144656462585034,0.19054421768707483,0.004975124378109453,0.004975124378109453,
True,shape,correct,all,balanced_accuracy,152.0,2.0,0.75,0.5,0.581634669678148,0.5000606295878035,0.557856084133258,0.014925373134328358,0.004975124378109453,
True,shape,len_bin,all,balanced_accuracy,152.0,3.0,0.47368421052631576,0.3333333333333333,0.9152380952380954,0.3377722222222222,0.40766269841269837,0.004975124378109453,0.004975124378109453,
True,shape,family,b6bank,balanced_accuracy,128.0,4.0,0.25,0.25,1.0,0.2542797619047619,0.3238690476190476,0.004975124378109453,0.004975124378109453,
True,shape,correct,b6bank,balanced_accuracy,128.0,2.0,0.703125,0.5,0.5531746031746032,0.4906220238095238,0.5540079365079366,0.06467661691542288,0.004975124378109453,
True,shape,len_bin,b6bank,balanced_accuracy,128.0,3.0,0.5,0.3333333333333333,1.0,0.3342530525030525,0.40685592185592184,0.004975124378109453,0.004975124378109453,
True,shape,family,ds_bank,balanced_accuracy,24.0,3.0,0.3333333333333333,0.3333333333333333,1.0,0.332,0.5333333333333333,0.004975124378109453,0.004975124378109453,
False,,,,,,,,,,,,,,"1 classes, smallest has 24"
True,shape,len_bin,ds_bank,balanced_accuracy,24.0,3.0,0.3333333333333333,0.3333333333333333,0.5666666666666667,0.3296666666666666,0.5333333333333333,0.04477611940298507,0.004975124378109453,
True,position,family,all,balanced_accuracy,152.0,7.0,0.21052631578947367,0.14285714285714285,1.0,0.14287414965986392,0.18931972789115636,0.004975124378109453,0.004975124378109453,
True,position,correct,all,balanced_accuracy,152.0,2.0,0.75,0.5,0.5993294748729532,0.49913710474308304,0.556311405985319,0.009950248756218905,0.004975124378109453,
True,position,len_bin,all,balanced_accuracy,152.0,3.0,0.47368421052631576,0.3333333333333333,0.9357142857142857,0.32843888888888884,0.39900396825396817,0.004975124378109453,0.004975124378109453,
True,position,family,b6bank,balanced_accuracy,128.0,4.0,0.25,0.25,1.0,0.25463095238095235,0.3286904761904761,0.004975124378109453,0.004975124378109453,
True,position,correct,b6bank,balanced_accuracy,128.0,2.0,0.703125,0.5,0.5938492063492063,0.4982718253968254,0.5730654761904761,0.009950248756218905,0.004975124378109453,
True,position,len_bin,b6bank,balanced_accuracy,128.0,3.0,0.5,0.3333333333333333,1.0,0.337567155067155,0.4219383394383394,0.004975124378109453,0.004975124378109453,
True,position,family,ds_bank,balanced_accuracy,24.0,3.0,0.3333333333333333,0.3333333333333333,1.0,0.3308333333333333,0.5333333333333333,0.004975124378109453,0.004975124378109453,
False,,,,,,,,,,,,,,"1 classes, smallest has 24"
True,position,len_bin,ds_bank,balanced_accuracy,24.0,3.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.33799999999999997,0.5666666666666667,0.014925373134328358,0.004975124378109453,
