active_len,neutral_len,irrelevant_len,seq_len,winding,steps_settle,answer_target
1,0,0,21,0.6091839928143736,14,1
1,0,0,21,0.6091840107126663,14,1
1,0,0,21,0.609184061256924,14,1
1,0,5,26,0.6111208689069871,13,1
1,0,5,26,0.6095758530166027,13,1
1,0,5,26,0.624972198990579,13,1
1,0,10,31,0.6551870948789493,12,1
1,0,10,31,0.6346075522951367,13,1
1,0,10,31,0.6582955907512508,12,1
1,3,0,24,0.6580572754102397,14,1
1,3,0,24,0.6580573114542823,14,1
1,3,0,24,0.6181992277884568,13,1
1,3,5,29,0.629483103326478,13,1
1,3,5,29,0.6272879542576273,13,1
1,3,5,29,0.620181222574237,14,1
1,3,10,34,0.7071468077746594,14,1
1,3,10,34,0.6254927230767436,15,1
1,3,10,34,0.6272409098103359,15,1
1,6,0,27,0.6682600243271246,13,1
1,6,0,27,0.6657877094000175,14,1
1,6,0,27,0.6660929080600826,13,1
1,6,5,32,0.6805664308055495,14,1
1,6,5,32,0.6156954160657993,14,1
1,6,5,32,0.6166462685968828,13,1
1,6,10,37,0.6300364132739562,14,1
1,6,10,37,0.631022759234101,14,1
1,6,10,37,0.6216902918555778,14,1
1,9,0,30,0.6704358430268207,14,1
1,9,0,30,0.6739780711649483,14,1
1,9,0,30,0.6234898469710861,13,1
1,9,5,35,0.6282453517979626,16,1
1,9,5,35,0.6216555860794555,15,1
1,9,5,35,0.6185859899436236,14,1
1,9,10,40,0.6295238627525186,15,1
1,9,10,40,0.6297060605603191,15,1
1,9,10,40,0.6263851752866249,15,1
3,0,0,23,0.6550573298217224,14,3
3,0,0,23,0.6550573252131762,14,3
3,0,0,23,0.6550573382324338,14,3
3,0,5,28,0.6386343009895573,14,3
3,0,5,28,0.6383292424055668,14,3
3,0,5,28,0.6301271298250132,14,3
3,0,10,33,0.6418925595178337,15,3
3,0,10,33,0.6409551608944378,15,3
3,0,10,33,0.6419415288327736,14,3
3,3,0,26,0.6649235438843697,14,3
3,3,0,26,0.6938045117708135,13,3
3,3,0,26,0.6812956874365059,13,3
3,3,5,31,0.6678095893045964,14,3
3,3,5,31,0.6293431332768786,14,3
3,3,5,31,0.6234820380974714,14,3
3,3,10,36,0.6253193851179828,14,3
3,3,10,36,0.619451762213491,14,3
3,3,10,36,0.6316217417154055,14,3
3,6,0,29,0.6735366274129614,14,3
3,6,0,29,0.6539239865784701,13,3
3,6,0,29,0.6539239353881392,13,3
3,6,5,34,0.6216541597120724,15,3
3,6,5,34,0.6208478000973014,14,3
3,6,5,34,0.6191918495752735,15,3
3,6,10,39,0.6308338616470189,14,3
