active_len,irrelevant_len,neutral_len,total_len,modulus,seq_len,winding,steps_settle,answer_target
0,0,24,24,2,42,0.6208752932887076,17,0
0,0,24,24,2,42,0.6208752945637214,17,0
0,0,24,24,2,42,0.6208752707724268,17,0
0,0,24,24,5,42,0.622617540093057,17,0
0,0,24,24,5,42,0.6226176243172175,17,0
0,0,24,24,5,42,0.6226176638952231,17,0
0,3,21,24,2,42,0.6078529801231852,17,0
0,3,21,24,2,42,0.6091535613533935,17,0
0,3,21,24,2,42,0.6040979595000932,17,0
0,3,21,24,5,42,0.6083298144631395,17,0
0,3,21,24,5,42,0.6098789295497632,17,0
0,3,21,24,5,42,0.6073979763935955,17,0
0,6,18,24,2,42,0.6061690127987558,17,0
0,6,18,24,2,42,0.6101711865943821,16,0
0,6,18,24,2,42,0.6021133853491248,17,0
0,6,18,24,5,42,0.6069733789461901,17,0
0,6,18,24,5,42,0.6083180736542466,16,0
0,6,18,24,5,42,0.6039254321181146,17,0
3,0,21,24,2,42,0.6040717596646882,17,1
3,0,21,24,2,42,0.6031580368900963,17,1
3,0,21,24,2,42,0.6088804148542757,17,1
3,0,21,24,5,42,0.6101933400789222,17,3
3,0,21,24,5,42,0.613649136256164,17,3
3,0,21,24,5,42,0.6132106661427744,17,3
3,3,18,24,2,42,0.5992903251575165,18,1
3,3,18,24,2,42,0.6024084603250579,18,1
3,3,18,24,2,42,0.596982988174743,18,1
3,3,18,24,5,42,0.6013079018810192,17,3
3,3,18,24,5,42,0.6025805415860782,17,3
3,3,18,24,5,42,0.6024844486780043,18,3
3,6,15,24,2,42,0.5992254697923401,17,1
3,6,15,24,2,42,0.6051702834385685,16,1
3,6,15,24,2,42,0.597934952074251,17,1
3,6,15,24,5,42,0.6026817956208586,17,3
3,6,15,24,5,42,0.6045192523905836,16,3
3,6,15,24,5,42,0.6019631534329468,18,3
6,0,18,24,2,42,0.6017488629544269,18,0
6,0,18,24,2,42,0.5964505968031476,18,0
6,0,18,24,2,42,0.6013367019459348,18,0
6,0,18,24,5,42,0.6078176732402655,17,1
6,0,18,24,5,42,0.6048998363025793,18,1
6,0,18,24,5,42,0.6064717120741359,18,1
6,3,15,24,2,42,0.5986234946306086,18,0
6,3,15,24,2,42,0.6001180319528022,17,0
6,3,15,24,2,42,0.5967057517289854,18,0
6,3,15,24,5,42,0.6016563697208348,18,1
6,3,15,24,5,42,0.602714103322427,17,1
6,3,15,24,5,42,0.6009125139681475,18,1
6,6,12,24,2,42,0.6026683483362876,18,0
6,6,12,24,2,42,0.6070431806050345,16,0
6,6,12,24,2,42,0.5957202752514658,17,0
6,6,12,24,5,42,0.6038288013873097,17,1
6,6,12,24,5,42,0.6053283914372883,15,1
6,6,12,24,5,42,0.5988242955835228,18,1
9,0,15,24,2,42,0.6031193458708134,17,1
9,0,15,24,2,42,0.6010716192241785,17,1
9,0,15,24,2,42,0.6016868747134753,17,1
9,0,15,24,5,42,0.6101058130170323,17,4
9,0,15,24,5,42,0.6081679325738902,18,4
9,0,15,24,5,42,0.6080466109863185,17,4
9,3,12,24,2,42,0.6036109150439286,17,1
9,3,12,24,2,42,0.6029941622661126,17,1
9,3,12,24,2,42,0.6021857462911686,17,1
9,3,12,24,5,42,0.6045122868436867,17,4
9,3,12,24,5,42,0.6061536453187377,17,4
9,3,12,24,5,42,0.603317093695708,17,4
9,6,9,24,2,42,0.6060672871085926,17,1
9,6,9,24,2,42,0.6066899072331554,16,1
9,6,9,24,2,42,0.5967273535185207,17,1
9,6,9,24,5,42,0.6070855846960358,17,4
9,6,9,24,5,42,0.6067572300579864,16,4
9,6,9,24,5,42,0.5992480225031684,17,4
12,0,12,24,2,42,0.6079843842652508,17,0
12,0,12,24,2,42,0.6080272069247372,17,0
12,0,12,24,2,42,0.607127542896824,17,0
12,0,12,24,5,42,0.6109102839584621,17,2
12,0,12,24,5,42,0.6091651701482725,17,2
12,0,12,24,5,42,0.6082507073952463,17,2
12,3,9,24,2,42,0.6000791209005298,17,0
12,3,9,24,2,42,0.6006116086394577,17,0
12,3,9,24,2,42,0.5997914432098067,17,0
12,3,9,24,5,42,0.6021142537701943,17,2
12,3,9,24,5,42,0.6031116036164916,17,2
12,3,9,24,5,42,0.6023413831040574,17,2
12,6,6,24,2,42,0.6069997084183671,16,0
12,6,6,24,2,42,0.6074955819480228,15,0
12,6,6,24,2,42,0.597183519621881,17,0
12,6,6,24,5,42,0.6090591790450424,17,2
12,6,6,24,5,42,0.6104215829010029,15,2
12,6,6,24,5,42,0.6001181092115632,17,2
15,0,9,24,2,42,0.6040558740777138,17,1
15,0,9,24,2,42,0.6056145902027853,17,1
15,0,9,24,2,42,0.6095150637932065,17,1
15,0,9,24,5,42,0.605134563506047,17,0
15,0,9,24,5,42,0.6102084819627146,17,0
15,0,9,24,5,42,0.6099159036818698,17,0
15,3,6,24,2,42,0.5956499598018764,17,1
15,3,6,24,2,42,0.6035188496305366,17,1
15,3,6,24,2,42,0.6011782109036801,17,1
15,3,6,24,5,42,0.5996762306493225,17,0
15,3,6,24,5,42,0.6036569639640853,17,0
15,3,6,24,5,42,0.6035916614142167,17,0
15,6,3,24,2,42,0.5967395093463652,17,1
15,6,3,24,2,42,0.610723535505688,15,1
15,6,3,24,2,42,0.599538038495827,17,1
15,6,3,24,5,42,0.6013166771770476,16,0
15,6,3,24,5,42,0.6109596078042879,15,0
