depth,seed,correct_at_step,topk_correct_at_step,target,n_answer_tokens,is_single_token_answer
2,0,-1,-1,-2,2,False
2,1,-1,1,2,1,True
2,2,-1,1,2,1,True
4,0,-1,-1,-2,2,False
4,1,-1,1,2,1,True
4,2,-1,1,2,1,True
6,0,-1,-1,-4,2,False
6,1,1,1,0,1,True
6,2,-1,1,2,1,True
8,0,-1,3,-6,2,False
8,1,-1,3,-2,2,False
8,2,-1,1,2,1,True
10,0,-1,-1,-6,2,False
10,1,1,1,0,1,True
10,2,-1,6,4,1,True
12,0,-1,3,-6,2,False
12,1,1,1,0,1,True
12,2,-1,1,2,1,True
14,0,-1,-1,-4,2,False
14,1,-1,-1,-2,2,False
14,2,1,0,0,1,True
16,0,-1,-1,-4,2,False
16,1,-1,-1,-2,2,False
16,2,-1,1,0,1,True
