task,n_ops,num_steps,init_seed,observed,null_mean,null_std,p_value,z_score
count_ones,16,128,0,0.6393299403815687,0.6731579275268615,0.004781248619388501,1.0,-7.07513660931929
count_ones,16,128,1,0.6478974376501226,0.6627424170129897,0.005964492353264907,0.995,-2.4888923455054988
count_ones,16,128,2,0.38229968619710525,0.6721968446337948,0.0049642291304663735,1.0,-58.397215522856946
count_ones,16,128,3,0.6412803076884117,0.6846105641910835,0.004335556643185532,1.0,-9.99416224229861
count_ones,16,128,4,0.6287640584677318,0.6676676465722761,0.005020424944055988,1.0,-7.749062786130252
count_ones,16,64,0,0.6219393614993246,0.6209773779318536,0.002392429040322933,0.365,0.4020949216287579
count_ones,16,64,1,0.6253392473584508,0.6225845284233957,0.0023246067905819743,0.135,1.1850257627292844
count_ones,16,64,2,0.6284071227112599,0.6230072345386254,0.002417868860984676,0.005,2.2333254957571933
count_ones,16,64,3,0.6267607416875381,0.6220691705415627,0.002274412634704142,0.025,2.0627616442104793
count_ones,16,64,4,0.6197289502430652,0.622376320047099,0.0022246634516344898,0.885,-1.190009123442351
count_ones,24,128,0,0.6334762882367434,0.6616512279147835,0.005302715848000494,1.0,-5.313303689215039
count_ones,24,128,1,0.6137067685907949,0.6613717694659149,0.0048803457972018596,1.0,-9.766726141096132
count_ones,24,128,2,0.6214265257185345,0.6558227888002,0.004336639149411339,1.0,-7.931548348064521
count_ones,24,128,3,0.6276302237587742,0.6790240918175635,0.004715780045238964,1.0,-10.898275060703138
count_ones,24,128,4,0.6138261243102315,0.6583891754882241,0.004518441923312829,1.0,-9.862481787819421
count_ones,24,64,0,0.6184172942830818,0.6284109217469741,0.0026247646138078088,1.0,-3.807437593192147
count_ones,24,64,1,0.6309470834358561,0.6297662673034902,0.0023514172299720533,0.32,0.5021721017073667
count_ones,24,64,2,0.6304536916725773,0.6286647402203621,0.002276847279080046,0.21,0.7857142939064222
count_ones,24,64,3,0.6258003733473358,0.629966143409107,0.002295313168146857,0.96,-1.814902698063801
count_ones,24,64,4,0.6237373521414313,0.6278089323424052,0.0025195465431143388,0.935,-1.6159972166821355
count_ones,2,128,0,0.6282713050468618,0.7104589621867364,0.003085778134267656,1.0,-26.63433777923899
count_ones,2,128,1,0.6186761567800197,0.7133552025360401,0.003087114202929495,1.0,-30.669110221505694
count_ones,2,128,2,0.6186760903486199,0.7131961660982873,0.003004506620211293,1.0,-31.459433343841393
count_ones,2,128,3,0.6186760592249462,0.7131923780691506,0.002948368303231096,1.0,-32.057161495266605
count_ones,2,128,4,0.6200553075457778,0.715043910389983,0.0031279846000477098,1.0,-30.367349904074487
count_ones,2,64,0,0.6163839432730892,0.6229769202166473,0.0030728679280424354,0.995,-2.1455451708131617
count_ones,2,64,1,0.6332700270767693,0.6285949193094124,0.0031539198872494456,0.055,1.4823165884007612
count_ones,2,64,2,0.6332698419605043,0.6286905066664099,0.0030965014137615435,0.055,1.4788739555366548
count_ones,2,64,3,0.6332699363753058,0.6285176020547717,0.0032864955707424676,0.095,1.446018781476861
count_ones,2,64,4,0.6228006336714148,0.6210595169739124,0.003260900751981356,0.31,0.533937347355485
count_ones,32,128,0,0.6501683744183281,0.651671623833304,0.0052896281400411265,0.61,-0.28418810834673136
count_ones,32,128,1,0.6291746007055313,0.6731757902075494,0.004955281216534222,1.0,-8.879655377620113
count_ones,32,128,2,0.6399216032558322,0.658655850744442,0.004337578899513117,1.0,-4.3190563036703775
count_ones,32,128,3,0.6229615293089527,0.668709010441097,0.005166348910408953,1.0,-8.854895773681513
count_ones,32,128,4,0.627981455162923,0.6567746724572054,0.004995897778715936,1.0,-5.7633719843008775
count_ones,32,64,0,0.62128898442257,0.6298792867553937,0.0025012333518852135,1.0,-3.4344265905254843
count_ones,32,64,1,0.6262354512259158,0.6321430093536046,0.0023166935996633935,0.995,-2.5499954454689533
count_ones,32,64,2,0.6350804205119671,0.6357922929230849,0.0020794550452684604,0.665,-0.3423360426750197
count_ones,32,64,3,0.629031255215229,0.6337292870416025,0.0023102134774571057,0.98,-2.0335920780553693
count_ones,32,64,4,0.6234290977162261,0.6297799681791161,0.002363640023261771,1.0,-2.686902574160128
count_ones,48,128,0,0.6294090132241553,0.6331635180428641,0.004296854306325745,0.785,-0.8737798750079682
count_ones,48,128,1,0.6614805436765662,0.6297587509249121,0.003832987832331207,0.0,8.275996204339902
count_ones,48,128,2,0.6273284014854246,0.6530699956085063,0.004368918205286571,1.0,-5.891983533116586
count_ones,48,128,3,0.6525526232090686,0.6387684507910528,0.0040715652446267235,0.0,3.385472561493851
count_ones,48,128,4,0.6422503587259967,0.6509546765685813,0.004077069794413141,0.985,-2.134944526706966
count_ones,4,128,0,0.6094129224979971,0.7121735403752315,0.0034361003481546246,1.0,-29.906174868386067
count_ones,4,128,1,0.6130494686176389,0.7129922325398037,0.0032835852298072118,1.0,-30.43708535868665
count_ones,4,128,2,0.6232346146826387,0.7120080115130656,0.0030267334290684286,1.0,-29.32977049708326
count_ones,4,128,3,0.6163824948900404,0.7109577605344751,0.0031001737472528116,1.0,-30.506440398136295
count_ones,4,128,4,0.6212441633075985,0.7108595532907589,0.0033990272868292485,1.0,-26.36501046355451
count_ones,4,64,0,0.6179288590122956,0.6181296374579405,0.0032578644495079505,0.545,-0.06162885189260924
count_ones,4,64,1,0.6174613876300618,0.6257846652746664,0.002843727195116994,1.0,-2.9268903356470455
count_ones,4,64,2,0.6215404191646221,0.6234951845444505,0.003273973387242344,0.7,-0.5970620859184527
count_ones,4,64,3,0.6182056485597296,0.6219991626536245,0.0030079812838679433,0.91,-1.261149500576975
count_ones,4,64,4,0.6093794839389739,0.6187569768264205,0.0030752695258754966,1.0,-3.049323907561218
count_ones,64,128,0,0.6668040515855786,0.6305889541918794,0.004349758224939377,0.0,8.325772496057283
count_ones,64,128,1,0.6593010773881204,0.6369048144868349,0.0041135244776006955,0.0,5.444543486550154
count_ones,64,128,2,0.6371190559117627,0.6339888646517494,0.004098169834057876,0.24,0.7638022304492498
count_ones,64,128,3,0.6364511182228978,0.6450079984223592,0.0037965805118087854,0.985,-2.253838730101031
count_ones,64,128,4,0.6295080449444095,0.6478994141730934,0.004039544614883835,1.0,-4.552832307117067
count_ones,8,128,0,0.634100108346138,0.7124321970374855,0.003023719785534588,1.0,-25.905869011436383
count_ones,8,128,1,0.38578456540612394,0.7081633215267235,0.0031311469307037667,1.0,-102.95868039898743
count_ones,8,128,2,0.6188270504106179,0.705020588241855,0.004176885904052971,1.0,-20.635837274750696
count_ones,8,128,3,0.6341926239076853,0.7052142926996968,0.0034825416255612283,1.0,-20.39363098224736
count_ones,8,128,4,0.6148750352972312,0.7037641603216171,0.00415913076962496,1.0,-21.37204381106808
count_ones,8,64,0,0.6274286317552649,0.6283505440358632,0.003180231151722706,0.6,-0.2898884504351058
count_ones,8,64,1,0.6192182848647779,0.628759441165451,0.002958754205550127,1.0,-3.224720824317033
count_ones,8,64,2,0.6181592741400046,0.6300871284573395,0.002538887603958315,1.0,-4.69806315913256
count_ones,8,64,3,0.6190362376031198,0.6330398337896941,0.002986284024169709,1.0,-4.689304859562983
count_ones,8,64,4,0.6159736674071733,0.6265017299398528,0.0030110135015733327,1.0,-3.4965178758508637
projection,16,128,0,0.6519822797438987,0.6918124829738821,0.004348857639035573,1.0,-9.158773759910062
projection,16,128,1,0.6394464707787053,0.6828146542428578,0.004008465607574864,1.0,-10.819148200298619
projection,16,128,2,0.626862713600585,0.7075492494653443,0.0028560586829165543,1.0,-28.25100770771407
projection,16,128,3,0.6381445207418152,0.691966582271166,0.004041892041247458,1.0,-13.316056188561546
projection,16,128,4,0.6384082196639709,0.6496682448011336,0.0046582570326595876,0.995,-2.417218512893851
projection,16,64,0,0.6050852821835782,0.63791968913513,0.0023702755048768624,1.0,-13.852569831648154
projection,16,64,1,0.6107633776437189,0.6299591061652517,0.002842469290178921,1.0,-6.753187655485472
projection,16,64,2,0.6134913493057564,0.6241747600994785,0.0025069396278472175,1.0,-4.261534930897477
projection,16,64,3,0.6110161807487744,0.6296774691048549,0.0023894870634459087,1.0,-7.809746552537859
projection,16,64,4,0.6066753690632114,0.6248698456755991,0.002770083902080976,1.0,-6.568204161151739
projection,24,128,0,0.6450627202814837,0.67644212655828,0.0038130305550677676,1.0,-8.229518705296227
projection,24,128,1,0.626747957356798,0.67973624780954,0.004953660259075772,1.0,-10.69679543639682
projection,24,128,2,0.6582039302414682,0.6814779687458536,0.0033888386183577967,1.0,-6.867850944068821
projection,24,128,3,0.6248045688893472,0.6967349784876525,0.003936400511179694,1.0,-18.27314303867637
projection,24,128,4,0.6380701882176599,0.673782116451095,0.004488617663341087,1.0,-7.956108297014765
projection,24,64,0,0.6206276656621953,0.6343904665221799,0.0027551057672043685,1.0,-4.99538022235344
projection,24,64,1,0.6161873092327438,0.6285250521811804,0.002718111291013895,1.0,-4.539086750871939
projection,24,64,2,0.616301432362268,0.6314559967336207,0.002884527696467266,1.0,-5.2537420215839274
projection,24,64,3,0.6079887593671219,0.6280269122013804,0.0024725671151208956,1.0,-8.104189654434805
projection,24,64,4,0.6132361962529209,0.6307181283108314,0.002986708927005623,1.0,-5.853242644383596
projection,2,128,0,0.6339660123892196,0.7117147934961494,0.0036549087568740987,1.0,-21.272427378850725
projection,2,128,1,0.6405088877780816,0.7115263090363682,0.00371393200599754,1.0,-19.121895916134772
projection,2,128,2,0.6384986740778298,0.7152482323317435,0.003078180795546682,1.0,-24.933414686021738
projection,2,128,3,0.6405090032499017,0.7107593963954179,0.004468059910973323,1.0,-15.722795697744532
projection,2,128,4,0.6434975418425641,0.713279290893018,0.003735429092725502,1.0,-18.6810530512677
projection,2,64,0,0.6377343938989303,0.6341269942610297,0.0026963252535455776,0.095,1.337894837856437
projection,2,64,1,0.6373348874149495,0.623885959772382,0.0027437368809689815,0.0,4.9016827144947674
projection,2,64,2,0.6356018921195337,0.6293806092507054,0.0030288628084919824,0.01,2.053999557651061
projection,2,64,3,0.6495434764625378,0.6297093155398166,0.0029430806113546317,0.0,6.73925166922019
projection,2,64,4,0.6264945037348756,0.6239852731312797,0.0029170584258280587,0.225,0.860192096729629
projection,32,128,0,0.63128488759201,0.6990628010396258,0.0032855232556688327,1.0,-20.62925999098379
projection,32,128,1,0.6324479753499241,0.6791530498786011,0.0041763697192759635,1.0,-11.183175261785498
projection,32,128,2,0.6474017838307924,0.702630661776579,0.0029747590572598384,1.0,-18.565832352372077
projection,32,128,3,0.674885870744671,0.7004305409865771,0.0034971578492242463,1.0,-7.30440870650792
projection,32,128,4,0.6612022744359954,0.6713278704513729,0.004254382949468925,0.99,-2.380038688487461
projection,32,64,0,0.6211165927298025,0.6310987962845452,0.0024029927488780378,1.0,-4.154071442539094
projection,32,64,1,0.6154945389617741,0.6233089674781531,0.0023796910976572497,1.0,-3.2837995335075876
projection,32,64,2,0.6173535716201911,0.6219101564624592,0.0025456097551348525,0.965,-1.7899777580113336
projection,32,64,3,0.6151379242491213,0.6256465153429827,0.002488048286500502,1.0,-4.223628275575774
projection,32,64,4,0.6173798806128219,0.6235736913663049,0.0027264927499222776,0.98,-2.2717136341769413
projection,48,128,0,0.629227999562937,0.6863760800227159,0.004549260328529502,1.0,-12.56205983671447
projection,48,128,1,0.6282610338791258,0.698490111257976,0.0033333236152618415,1.0,-21.068784638041667
projection,48,128,2,0.6181823635751511,0.6882922463896247,0.00456435133074165,1.0,-15.360316884958467
projection,48,128,3,0.6575926166338637,0.7046809965355904,0.0032576630917746535,1.0,-14.454650028304387
projection,48,128,4,0.6604412216772433,0.6754769782031426,0.004736323329101707,1.0,-3.174562942845156
projection,4,128,0,0.6289616527195273,0.7101507413160155,0.0033169586379502404,1.0,-24.476967444689063
projection,4,128,1,0.6167703397015292,0.7007237131037154,0.003610754858529146,1.0,-23.250920289943178
projection,4,128,2,0.604516843458993,0.7011360977785449,0.0038558044851212583,1.0,-25.058131109184952
projection,4,128,3,0.38216190413605045,0.6959535500113581,0.004533533539641264,1.0,-69.21568863040501
projection,4,128,4,0.6358040915727333,0.7118416351214316,0.0034759958830238996,1.0,-21.87503843720044
projection,4,64,0,0.6594765313894027,0.6366436606564949,0.0028560732334408302,0.0,7.994497642975363
projection,4,64,1,0.6100878980413326,0.6308416192521101,0.0031947281214592953,1.0,-6.4962401875054185
projection,4,64,2,0.625373347970793,0.6323688690807693,0.002859389617250768,0.99,-2.446508537266871
projection,4,64,3,0.612494236611368,0.6365430131430899,0.0025516250316767303,1.0,-9.424886585282826
projection,4,64,4,0.6151633228747723,0.6288359082226014,0.0029814612513123996,1.0,-4.5858671957620185
projection,64,128,0,0.6125648358966455,0.6853741058609856,0.0038478621021960395,1.0,-18.922006046626944
projection,64,128,1,0.6476902631912651,0.7021764657147475,0.003466399399056975,1.0,-15.718385636203717
projection,64,128,2,0.6355568950890665,0.6983569625819406,0.0038878922306300138,1.0,-16.152728462511316
projection,64,128,3,0.6613368872023982,0.7002104926591184,0.0036577501464182772,1.0,-10.627736696227254
projection,64,128,4,0.64969218157857,0.6691134142374279,0.004940012097202098,1.0,-3.9314139878033054
projection,8,128,0,0.6514317826544047,0.689042018673915,0.00500974558681885,1.0,-7.507414372192204
projection,8,128,1,0.6359140185161145,0.6803106584639312,0.003827763402737481,1.0,-11.598585198882935
projection,8,128,2,0.6133214591460039,0.7050062969178083,0.003465358934032643,1.0,-26.457529946287725
projection,8,128,3,0.6194073326260694,0.6971581144202146,0.0037814579553973587,1.0,-20.56105944088834
projection,8,128,4,0.6379874307415471,0.6648648537853563,0.004919408263200079,1.0,-5.463547972805465
